recency,frequency,monetary
2836,0.019607843,54.79
1794,0.006535947,20.19
1332,0.052287581,65.17
327,0.039215686,17.49
2256,0.039215686,88.00
621,0.013071895,79.82
2556,0.019607843,55.56
1001,0.052287581,74.79
509,0.013071895,24.93
1065,0.490196078,655.17
2419,0.065359477,318.33
323,0.712418300,526.27
280,0.196078431,426.22
446,0.058823529,71.24
863,0.032679738,29.91
487,0.098684210,229.14
434,0.026315789,220.33
1539,0.059210526,179.03
1461,0.019736842,437.65
498,0.203947368,632.90
1527,0.059210526,127.79
2667,0.006578947,26.63
427,0.019736842,30.07
1749,0.019736842,37.89
2516,0.046052631,84.18
2840,0.032894736,111.38
2524,0.013157894,11.36
1113,0.059210526,95.70
1578,0.072368421,195.40
2625,0.006578947,16.46
187,0.052631578,210.70
653,0.138157894,578.72
2080,0.355263157,598.42
560,0.177631578,173.89
1033,0.013157894,25.65
2717,0.032894736,221.98
2900,0.006578947,191.00
1385,0.006578947,9.41
749,0.006578947,6.58
2487,0.013157894,18.54
492,0.046052631,124.07
1658,0.085526315,120.20
2733,0.046052631,250.31
500,0.032894736,66.59
491,0.322368421,553.00
502,0.348684210,660.81
617,0.046052631,65.52
1598,0.131578947,166.49
968,0.039473684,71.47
445,0.151315789,114.31
1544,0.059210526,26.03
2905,0.006578947,22.13
293,0.144736842,358.97
984,0.019736842,80.33
2304,0.013157894,62.43
1696,0.039473684,44.97
1235,0.059210526,29.51
536,0.006578947,25.84
2433,0.013157894,53.96
282,0.131578947,197.99
767,0.006622516,21.99
1448,0.033112582,76.90
1554,0.019867549,204.24
2094,0.013245033,87.56
1205,0.072847682,161.23
1633,0.059602649,92.72
2474,0.013245033,35.68
583,0.039735099,53.57
278,0.112582781,118.61
1435,0.013245033,28.83
167,0.384105960,391.15
178,0.145695364,242.64
671,0.006622516,14.98
1434,0.165562913,371.45
418,0.079470198,120.42
512,0.059602649,123.35
2047,0.033112582,25.29
615,0.006622516,16.24
2280,0.006622516,29.16
825,0.026490066,62.57
2154,0.079470198,246.60
2367,0.006622516,49.99
616,0.046357615,96.87
1473,0.132450331,261.06
2391,0.072847682,184.46
1817,0.099337748,584.80
1528,0.145695364,607.47
890,0.125827814,213.99
2482,0.092715231,165.39
483,0.006622516,23.97
1749,0.079470198,125.04
401,0.019867549,165.63
1802,0.026490066,53.70
1638,0.013245033,68.07
444,0.132450331,175.24
685,0.139072847,201.01
1949,0.013245033,40.88
1687,0.066225165,37.60
162,0.112582781,273.24
2766,0.006622516,31.63
1115,0.059602649,107.90
521,0.046357615,73.86
2858,0.013245033,49.98
1414,0.006622516,5.97
1545,0.099337748,130.81
616,0.158940397,240.61
868,0.052980132,290.91
439,0.013245033,29.68
620,0.655629139,1110.89
2841,0.119205298,333.70
2200,0.052980132,136.17
442,0.039735099,18.08
538,0.158940397,397.60
1193,0.046357615,94.84
173,0.211920529,525.63
2484,0.079470198,194.46
2161,0.013245033,62.86
654,0.079470198,72.05
384,1.158940397,6121.33
2710,0.006622516,44.96
2290,0.006622516,129.00
1964,0.033112582,129.88
496,0.059602649,127.78
431,0.198675496,352.28
909,0.059602649,198.32
1938,0.052980132,131.17
1195,0.072847682,210.88
986,0.006622516,4.70
1039,0.033112582,121.06
2073,0.039735099,50.61
1080,0.019867549,139.68
495,0.013245033,30.61
1962,0.026490066,76.52
2515,0.264900662,961.65
2514,0.006622516,13.30
520,0.086092715,202.78
451,0.006622516,26.30
1519,0.046357615,44.19
316,0.231788079,319.21
1609,0.006622516,31.49
573,0.231788079,427.91
825,0.529801324,855.19
1267,0.013245033,86.20
2561,0.066225165,121.34
1706,0.019867549,55.83
2694,0.033112582,141.97
424,0.079470198,137.94
1520,0.019867549,149.17
969,0.331125827,717.55
547,0.046357615,66.75
2685,0.072847682,362.15
2599,0.006622516,3.33
1070,0.026490066,58.76
1225,0.039735099,162.92
187,0.033112582,78.72
443,0.033112582,42.92
494,0.112582781,128.19
2276,0.026490066,80.82
1590,0.403973509,1013.62
2289,0.033112582,1822.13
2287,0.019867549,59.13
955,0.026490066,97.72
492,0.013245033,35.42
1235,0.132450331,359.37
2106,0.006622516,28.30
1969,0.006622516,48.00
200,0.218543046,283.17
2126,0.026490066,43.12
1189,0.039735099,79.34
626,0.013245033,32.80
567,0.026490066,22.32
1472,0.013245033,94.18
865,0.019867549,627.62
1338,0.145695364,259.77
2377,0.033112582,97.83
2870,0.039735099,124.97
2890,0.019867549,65.50
692,0.059602649,863.87
1959,0.013245033,73.12
2484,0.006622516,21.65
336,0.139072847,120.51
317,0.039735099,103.98
2457,0.066225165,83.14
343,0.046357615,67.49
1273,0.059602649,132.58
2413,0.039735099,164.80
1383,0.120000000,217.36
1440,0.080000000,163.97
1619,0.100000000,219.50
921,0.080000000,110.49
1214,0.040000000,141.27
767,0.100000000,115.05
1675,0.266666666,556.30
1906,0.006666666,9.99
1686,0.026666666,56.82
2192,0.013333333,24.92
1081,0.040000000,15.33
2589,0.020000000,56.82
1168,0.040000000,139.96
1926,0.066666666,318.99
2779,0.006666666,49.96
347,0.226666666,489.63
2324,0.126666666,222.05
2821,0.013333333,37.83
774,0.013333333,11.19
1716,0.053333333,24.32
277,0.126666666,139.27
1957,0.006666666,62.50
808,0.173333333,237.86
2437,0.006666666,24.99
1347,0.073333333,208.35
1613,0.046666666,140.65
2516,0.006666666,16.66
1291,0.120000000,141.74
468,0.320000000,704.45
2033,0.020000000,65.76
171,0.066666666,101.33
761,0.006666666,31.50
541,0.033333333,92.33
1543,0.313333333,685.88
2711,0.020000000,45.77
174,6.653333333,4931.25
2426,0.006666666,9.59
1714,0.040000000,167.36
346,0.080000000,356.01
1585,0.233333333,532.81
2285,0.040000000,114.42
1897,0.026666666,26.74
853,0.053333333,108.65
2644,0.020000000,73.07
245,0.173333333,237.28
2681,0.060000000,90.32
2325,0.013333333,112.42
471,0.246666666,248.15
1285,0.073333333,105.03
1364,0.253333333,202.56
390,0.046666666,41.66
501,0.500000000,1071.74
2522,0.066666666,87.61
807,0.040000000,-7.28
814,0.053333333,86.95
2560,0.226666666,475.17
2289,0.006666666,41.92
1896,0.013333333,31.45
686,0.173333333,291.49
755,0.060000000,247.83
2663,0.040000000,248.51
623,0.026666666,56.83
2749,0.013333333,27.23
2277,0.060000000,93.90
2714,0.013333333,44.30
1553,0.066666666,114.97
590,0.046666666,49.42
2734,0.073333333,106.86
879,0.046666666,72.79
493,0.120000000,520.96
1982,0.006666666,140.18
2711,0.020000000,139.18
1690,0.046666666,155.86
2737,0.073333333,403.85
587,0.040000000,33.30
1828,0.033333333,23.38
1612,0.233333333,348.90
2678,0.006666666,65.25
172,0.646666666,1428.18
768,0.046666666,93.55
627,0.006666666,7.09
2863,0.006666666,49.79
2898,0.026666666,90.27
2265,0.066666666,142.91
1358,0.033333333,136.15
166,0.060000000,227.25
383,0.413333333,506.86
2164,0.046666666,101.69
851,0.046666666,106.63
2851,0.026666666,115.50
2111,0.013333333,88.90
201,0.226666666,463.32
2330,0.006666666,54.92
1573,0.206666666,460.21
2834,0.006666666,24.58
2714,0.006666666,49.92
210,0.853333333,747.01
2248,0.033333333,189.93
408,0.160000000,466.47
944,0.206666666,255.26
1107,0.013333333,18.39
2611,0.026666666,73.39
1744,0.026666666,16.63
1718,0.073333333,272.73
2543,0.033333333,97.67
1739,0.013333333,17.74
193,0.086666666,190.05
1799,0.073333333,143.36
200,0.146666666,302.24
248,0.466666666,642.54
2479,0.140000000,256.42
1670,0.066666666,209.50
2199,0.033333333,159.35
292,0.540000000,1245.32
1601,0.006666666,19.93
711,0.013333333,50.37
1907,0.006666666,11.36
337,0.053333333,90.51
1646,1.360000000,2127.77
2287,0.020000000,62.45
2642,0.020000000,86.19
170,0.166666666,258.71
426,0.420000000,784.67
443,0.580000000,929.15
802,0.006666666,17.38
347,0.166666666,13.25
347,0.166666666,10.62
283,0.046666666,62.21
2835,0.006666666,19.95
1628,0.006666666,4.70
1144,0.126666666,398.65
2807,0.006666666,17.22
