recency,frequency,monetary
391,175,6121.33
2717,1,44.96
2297,1,129.00
1971,5,129.88
503,9,127.78
438,30,352.28
916,9,198.32
1945,8,131.17
1202,11,210.88
993,1,4.70
1046,5,121.06
2080,6,50.61
1087,3,139.68
502,2,30.61
1969,4,76.52
2522,40,961.65
2521,1,13.30
527,13,202.78
458,1,26.30
1526,7,44.19
323,35,319.21
1616,1,31.49
580,35,427.91
832,80,855.19
1274,2,86.20
2568,10,121.34
1713,3,55.83
2701,5,141.97
431,12,137.94
1527,3,149.17
976,50,717.55
554,7,66.75
2692,11,362.15
2606,1,3.33
1077,4,58.76
1232,6,162.92
194,5,78.72
450,5,42.92
501,17,128.19
2283,4,80.82
1597,61,1013.62
2296,5,1822.13
2294,3,59.13
962,4,97.72
499,2,35.42
1242,20,359.37
2113,1,28.30
1976,1,48.00
207,33,283.17
2133,4,43.12
1196,6,79.34
633,2,32.80
574,4,22.32
1479,2,94.18
872,3,627.62
1345,22,259.77
2384,5,97.83
2877,6,124.97
2897,3,65.50
699,9,863.87
1966,2,73.12
2491,1,21.65
343,21,120.51
324,6,103.98
2464,10,83.14
350,7,67.49
1280,9,132.58
2420,6,164.80
1390,18,217.36
1447,12,163.97
1626,15,219.50
928,12,110.49
1221,6,141.27
774,15,115.05
1682,40,556.30
1913,1,9.99
1693,4,56.82
2199,2,24.92
1088,6,15.33
2596,3,56.82
1175,6,139.96
1933,10,318.99
2786,1,49.96
354,34,489.63
2331,19,222.05
2828,2,37.83
781,2,11.19
1723,8,24.32
284,19,139.27
1964,1,62.50
815,26,237.86
2444,1,24.99
1354,11,208.35
1620,7,140.65
2523,1,16.66
1298,18,141.74
475,48,704.45
2040,3,65.76
178,10,101.33
768,1,31.50
548,5,92.33
1550,47,685.88
2718,3,45.77
181,998,4931.25
2433,1,9.59
1721,6,167.36
353,12,356.01
1592,35,532.81
2292,6,114.42
1904,4,26.74
860,8,108.65
2651,3,73.07
252,26,237.28
2688,9,90.32
2332,2,112.42
478,37,248.15
1292,11,105.03
1371,38,202.56
397,7,41.66
508,75,1071.74
2529,10,87.61
814,6,-7.28
821,8,86.95
2567,34,475.17
2296,1,41.92
1903,2,31.45
693,26,291.49
762,9,247.83
2670,6,248.51
630,4,56.83
2756,2,27.23
2284,9,93.90
2721,2,44.30
1560,10,114.97
597,7,49.42
2741,11,106.86
886,7,72.79
500,18,520.96
1989,1,140.18
2718,3,139.18
1697,7,155.86
2744,11,403.85
594,6,33.30
1835,5,23.38
1619,35,348.90
2685,1,65.25
179,97,1428.18
775,7,93.55
