recency,frequency,monetary,variety
1605,20,166.49,17
975,6,71.47,6
452,23,114.31,15
1551,9,26.03,7
2912,1,22.13,1
300,22,358.97,16
991,3,80.33,3
2311,2,62.43,2
1703,6,44.97,6
1242,9,29.51,8
543,1,25.84,1
2440,2,53.96,2
289,20,197.99,16
774,1,21.99,1
1455,5,76.90,5
1561,3,204.24,2
2101,2,87.56,2
1212,11,161.23,9
1640,9,92.72,9
2481,2,35.68,2
590,6,53.57,5
285,17,118.61,16
1442,2,28.83,2
174,58,391.15,48
185,22,242.64,19
678,1,14.98,1
1441,25,371.45,20
425,12,120.42,10
519,9,123.35,8
2054,5,25.29,4
622,1,16.24,1
2287,1,29.16,1
832,4,62.57,4
2161,12,246.60,12
2374,1,49.99,1
623,7,96.87,7
1480,20,261.06,19
2398,11,184.46,10
1824,15,584.80,11
1535,22,607.47,17
897,19,213.99,14
2489,14,165.39,14
490,1,23.97,1
1756,12,125.04,9
408,3,165.63,2
1809,4,53.70,4
1645,2,68.07,2
451,20,175.24,19
692,21,201.01,20
1956,2,40.88,1
1694,10,37.60,10
169,17,273.24,17
2773,1,31.63,1
1122,9,107.90,8
528,7,73.86,7
2865,2,49.98,2
1421,1,5.97,1
1552,15,130.81,13
623,24,240.61,17
875,8,290.91,7
446,2,29.68,2
627,99,1110.89,80
2848,18,333.70,14
2207,8,136.17,8
449,6,18.08,6
545,24,397.60,23
1200,7,94.84,7
180,32,525.63,27
2491,12,194.46,12
2168,2,62.86,1
661,12,72.05,12
391,175,6121.33,46
2717,1,44.96,1
2297,1,129.00,1
1971,5,129.88,5
503,9,127.78,9
438,30,352.28,28
916,9,198.32,8
1945,8,131.17,8
1202,11,210.88,11
993,1,4.70,1
1046,5,121.06,5
2080,6,50.61,6
1087,3,139.68,2
502,2,30.61,2
1969,4,76.52,4
2522,40,961.65,37
2521,1,13.30,1
527,13,202.78,13
458,1,26.30,1
1526,7,44.19,7
323,35,319.21,28
1616,1,31.49,1
580,35,427.91,33
832,80,855.19,71
1274,2,86.20,2
2568,10,121.34,10
1713,3,55.83,3
2701,5,141.97,5
431,12,137.94,10
1527,3,149.17,2
976,50,717.55,36
554,7,66.75,7
2692,11,362.15,8
2606,1,3.33,1
1077,4,58.76,4
1232,6,162.92,6
194,5,78.72,5
450,5,42.92,5
501,17,128.19,17
2283,4,80.82,4
1597,61,1013.62,52
2296,5,1822.13,4
2294,3,59.13,3
962,4,97.72,4
499,2,35.42,1
1242,20,359.37,19
2113,1,28.30,1
1976,1,48.00,1
207,33,283.17,22
2133,4,43.12,4
1196,6,79.34,5
633,2,32.80,2
574,4,22.32,3
1479,2,94.18,2
872,3,627.62,3
1345,22,259.77,17
2384,5,97.83,5
2877,6,124.97,5
2897,3,65.50,3
699,9,863.87,8
1966,2,73.12,2
2491,1,21.65,1
343,21,120.51,19
324,6,103.98,6
2464,10,83.14,8
350,7,67.49,7
1280,9,132.58,8
2420,6,164.80,6
1390,18,217.36,18
1447,12,163.97,11
1626,15,219.50,15
928,12,110.49,8
1221,6,141.27,6
774,15,115.05,14
1682,40,556.30,32
1913,1,9.99,1
1693,4,56.82,4
2199,2,24.92,1
1088,6,15.33,5
2596,3,56.82,3
1175,6,139.96,6
1933,10,318.99,10
2786,1,49.96,1
354,34,489.63,32
2331,19,222.05,17
2828,2,37.83,2
781,2,11.19,2
1723,8,24.32,6
284,19,139.27,19
1964,1,62.50,1
815,26,237.86,24
2444,1,24.99,1
1354,11,208.35,11
1620,7,140.65,6
2523,1,16.66,1
1298,18,141.74,13
475,48,704.45,44
