recency,frequency,monetary,variety
2415,4,73.81,4
1182,29,399.90,29
1141,4,107.77,4
2719,2,37.80,2
2866,1,56.66,1
450,4,21.12,3
1277,11,193.33,10
2113,4,18.48,4
2588,11,246.33,11
1997,44,368.80,41
1527,3,48.62,3
1599,17,84.95,14
2529,3,25.67,3
2654,3,138.00,2
544,4,33.09,4
2709,1,44.93,1
2096,13,173.00,10
222,12,142.35,12
292,2,15.94,2
1361,7,538.84,7
515,30,377.32,30
2843,3,21.58,3
603,9,130.08,9
320,33,412.65,29
1971,1,66.63,1
557,16,297.17,12
829,4,87.05,4
2804,3,48.63,3
2831,1,29.12,1
660,2,21.83,2
318,3,76.71,3
1534,48,910.04,46
1500,3,21.20,3
2470,1,27.71,1
1547,25,140.33,24
2857,2,18.11,2
291,7,89.59,6
1022,6,61.50,6
225,5,51.29,5
2857,4,9.60,4
1175,3,62.82,3
271,144,1906.87,107
1694,8,99.58,8
992,19,191.13,15
2425,12,212.38,10
2290,4,134.56,4
542,9,136.20,9
1972,7,338.01,7
1296,2,15.71,2
1282,5,82.01,5
2372,13,220.18,13
2202,1,141.63,1
472,6,43.19,6
2775,4,76.19,4
661,16,121.50,13
2878,1,55.38,1
1245,1,79.04,1
1986,12,133.86,12
819,1,13.66,1
863,11,213.88,8
2686,2,55.32,2
1806,1,9.30,1
2315,9,184.44,8
492,5,63.99,5
966,2,17.00,2
2328,3,87.47,3
321,28,273.15,25
1413,21,368.51,19
1971,2,49.01,2
2610,3,77.12,3
545,4,39.38,3
2855,11,164.11,11
2627,5,43.15,5
2103,4,51.51,4
2703,2,463.13,2
2481,1,89.95,1
1393,7,118.25,7
2658,5,84.43,5
2216,16,340.31,14
440,10,79.33,10
1572,1,23.74,1
1344,2,11.42,2
588,2,11.98,2
2482,31,614.96,29
267,5,73.03,5
1883,2,26.37,2
2257,21,333.93,21
871,1,8.32,1
2911,1,15.75,1
323,4,12.10,3
642,10,106.25,8
2491,9,161.28,9
1284,9,303.87,9
1716,7,43.62,7
642,41,639.79,25
2548,26,500.87,18
1449,12,135.73,12
348,11,213.86,8
2508,12,189.50,11
2024,2,42.49,2
1769,13,101.37,9
954,17,264.80,15
2900,1,108.24,1
2296,2,13.89,2
2451,19,439.73,19
2543,10,283.55,10
566,2,53.32,2
582,29,172.69,26
1663,19,330.42,19
305,235,2856.83,182
1452,2,10.50,2
446,15,202.68,13
2609,8,42.90,8
255,21,189.14,19
1476,1,16.33,1
472,6,101.11,5
1220,49,743.90,42
203,7,133.16,7
1242,1,10.72,1
576,24,179.67,24
2909,4,254.40,4
1271,4,78.52,4
312,56,686.67,53
2096,1,29.13,1
206,12,358.12,5
869,48,640.68,41
1089,30,380.39,24
1451,37,567.87,34
1675,13,185.58,13
958,6,77.77,6
2531,2,74.08,2
2704,1,33.75,1
796,53,710.03,46
2368,3,279.15,3
2895,3,24.39,3
2545,1,27.71,1
2687,2,121.19,2
2855,7,40.73,4
506,15,129.98,15
2833,8,140.16,7
382,1,3.91,1
632,16,113.48,16
2413,1,61.43,1
2902,1,14.13,1
1410,55,606.71,35
199,3,96.80,3
2843,3,54.72,3
2536,2,40.54,2
1922,2,8.97,2
2803,1,36.63,1
2491,3,75.90,3
2561,24,464.59,24
2842,4,126.71,3
1371,1,13.44,1
433,13,204.06,13
991,10,169.47,10
1715,1,12.86,1
2019,6,274.04,5
2626,8,85.71,8
2327,3,306.36,3
1185,6,31.78,6
1812,5,132.32,5
1993,1,14.13,1
1185,6,132.30,6
2219,2,35.74,2
2465,12,126.22,12
2444,1,14.00,1
571,1,18.63,1
2494,3,52.96,2
643,51,515.33,37
923,6,23.99,5
912,3,60.58,3
2637,2,43.50,2
1931,2,43.00,2
2427,3,114.06,3
2387,7,229.45,6
2345,2,37.79,2
449,7,109.57,6
2360,1,71.17,1
1556,62,780.42,48
2516,4,84.68,4
1050,7,118.82,5
825,77,1098.21,58
1437,9,185.58,9
2053,25,361.92,18
1878,1,6.84,1
2666,12,103.28,11
415,9,131.19,7
177,66,448.00,46
879,1,6.07,1
2039,9,92.41,8
568,6,77.40,6
988,4,35.09,4
226,99,1240.57,70
312,5,76.44,3
2414,1,67.46,1
1719,30,303.12,27
623,31,335.76,30
297,2,14.69,2
175,5,68.59,5
934,6,50.31,6
191,1,34.58,1
810,5,94.83,5
828,17,226.41,16
2728,18,194.92,18
1979,1,26.63,1
291,21,202.73,21
729,10,115.17,10
2583,5,67.32,5
1813,7,48.56,7
2620,3,38.65,3
326,2,25.51,2
1074,1,5.88,1
1253,14,157.81,13
1581,16,284.18,13
2659,7,136.90,7
535,14,146.90,12
2855,4,44.09,4
1764,30,1034.67,23
612,57,1221.14,46
863,6,38.68,6
1456,12,322.81,11
1755,5,139.68,5
1894,3,41.51,3
2757,2,19.83,2
1412,7,26.54,7
452,21,205.37,21
2724,3,132.75,3
1685,1,10.24,1
2722,4,8.32,1
1251,1,11.64,1
257,4,59.74,4
2528,1,24.98,1
1318,23,264.62,22
1095,1,4.38,1
413,49,877.02,38
2737,15,203.87,14
1019,10,120.98,9
702,14,178.04,11
1993,1,33.29,1
2657,3,58.52,3
324,5,33.69,5
1251,44,565.96,38
221,28,384.52,25
272,76,1078.99,57
2784,8,106.07,8
2822,1,13.30,1
2015,2,46.54,2
914,1,43.00,1
2423,6,17.51,3
842,1,9.37,1
2180,1,32.50,1
2699,7,97.06,7
1059,10,76.86,10
2838,2,39.63,2
2455,1,16.66,1
1971,5,116.82,5
1598,3,96.77,2
567,3,49.55,3
1819,3,33.38,3
1590,7,117.86,7
1837,23,186.25,18
2365,4,569.30,3
1765,5,32.74,5
508,5,132.38,4
2699,13,130.79,13
2016,8,148.16,7
800,7,79.48,7
1311,51,393.92,42
902,8,144.24,8
720,11,71.41,9
1376,35,333.29,26
327,11,52.06,7
2637,2,21.92,2
182,35,445.65,29
2261,13,134.85,13
1933,3,44.49,2
808,1,14.87,1
599,13,141.91,12
2668,1,13.15,1
286,58,405.62,36
679,2,17.36,2
2602,6,34.07,6
190,10,136.19,10
1601,1,13.62,1
1011,15,90.57,13
1133,8,273.99,8
795,12,176.74,9
2423,15,109.04,11
1089,4,91.41,3
602,32,245.85,31
2177,3,40.45,3
1971,5,142.70,4
1238,2,55.52,2
1407,7,75.35,7
2197,3,85.49,3
939,5,97.77,5
2011,15,284.83,14
620,1,3.49,1
266,80,1138.87,57
579,56,297.99,50
2621,1,97.43,1
2116,2,42.93,2
2234,5,84.00,5
1964,20,400.57,18
2273,5,66.72,4
295,26,373.52,21
1028,9,172.20,9
1961,6,166.82,6
183,31,254.90,31
882,7,136.31,7
1959,7,131.24,7
1734,6,174.70,5
281,21,254.11,16
2729,8,101.11,8
2575,6,206.10,6
872,3,45.50,3
2318,1,199.99,1
2904,1,42.50,1
2563,23,423.23,21
1229,15,195.80,13
1172,76,965.45,63
2707,2,30.75,2
477,26,199.01,25
597,1,4.98,1
183,120,1442.93,104
2462,12,121.06,11
730,2,21.96,1
2656,5,91.04,5
2333,2,45.80,2
541,9,57.95,7
1594,5,28.35,4
576,1,17.90,1
725,2,36.05,2
867,1,14.73,1
269,42,405.26,39
831,26,148.84,21
570,5,72.66,5
1462,4,33.55,4
911,12,350.42,12
1024,2,19.81,2
2891,1,33.25,1
1965,1,54.16,1
987,20,160.21,16
195,97,1800.72,66
2375,3,44.84,3
1278,2,112.44,2
737,14,44.35,8
2015,1,19.46,1
1847,3,71.88,3
233,11,76.50,11
630,27,190.95,23
2636,7,141.61,7
1243,15,123.54,15
283,63,822.56,46
929,94,1663.29,69
877,9,49.38,8
942,32,1112.61,26
2169,29,464.89,26
428,5,150.78,4
2125,4,95.31,4
2928,1,43.50,1
2844,3,79.76,3
1210,1,15.30,1
1656,1,25.32,1
1420,4,151.03,4
1567,7,62.96,7
1899,1,20.01,1
1751,4,24.67,4
1270,3,383.71,3
2527,5,342.24,3
1364,7,99.46,7
1897,28,727.30,27
1240,20,112.73,19
1609,5,119.94,5
2495,3,46.13,2
700,5,150.82,5
2536,7,21.21,7
2363,1,18.20,1
2605,1,164.93,1
433,44,847.97,39
1486,9,116.46,7
2120,11,131.77,8
661,1,14.06,1
2755,1,29.50,1
932,35,262.82,32
621,33,601.83,29
232,19,255.38,18
266,71,476.04,55
1587,1,19.13,1
1969,5,57.67,4
2087,3,91.22,3
1090,1,35.09,1
2400,3,56.32,3
2511,2,124.22,2
429,1,10.01,1
400,5,58.00,5
2835,1,5.60,1
1765,9,220.67,9
304,40,1791.83,19
207,52,575.88,46
2561,2,22.40,2
211,20,351.91,19
1877,31,349.79,28
204,7,82.84,7
1188,20,606.14,18
169,63,564.88,52
1115,2,45.61,2
1924,20,290.09,20
2714,1,16.65,1
1121,3,48.34,3
2843,11,192.04,10
303,9,74.93,8
1105,3,23.79,3
1518,8,134.57,8
2846,2,116.60,2
2847,4,65.08,4
1588,1,28.99,1
2592,7,186.24,7
2014,52,567.38,44
442,75,810.33,65
2836,3,44.13,3
327,30,456.81,30
1539,12,1528.18,7
2593,2,45.90,2
2336,1,22.42,1
1532,10,119.53,10
1215,34,320.65,31
797,13,115.06,13
872,2,46.19,2
523,4,87.37,4
2773,2,138.58,2
422,9,138.46,8
871,1,6.94,1
572,26,446.87,21
1498,6,119.87,5
2761,9,237.94,9
2445,1,5.21,1
932,5,19.17,4
2857,2,67.96,2
615,32,408.87,31
275,17,112.78,16
1905,1,16.69,1
2182,9,58.15,9
1744,3,24.09,2
1661,2,53.72,2
1896,8,135.51,8
1568,5,42.07,5
1191,22,188.41,16
723,14,162.77,12
559,45,520.84,44
2115,9,108.94,9
1540,4,67.41,4
2659,3,62.96,3
637,15,380.61,14
366,36,857.92,32
1347,8,57.66,7
898,83,685.29,74
2821,1,97.43,1
1064,15,321.27,12
802,10,142.24,9
2491,1,176.67,1
470,14,293.76,12
1966,2,262.42,2
2729,5,55.54,5
916,10,148.56,10
194,20,182.34,18
1780,8,46.40,8
1558,1,13.53,1
805,41,396.38,30
1016,34,217.75,28
435,15,90.94,11
1559,3,34.41,3
2625,25,262.84,17
2208,6,22.25,6
423,15,316.02,15
1970,4,77.69,4
1836,12,293.98,12
2852,3,47.83,3
1297,13,157.08,12
1352,10,150.15,10
2869,6,36.90,6
1536,8,158.47,8
952,7,50.43,6
1911,2,16.62,2
1172,21,490.77,21
875,6,94.97,6
1241,4,23.71,4
2156,12,61.46,10
2679,36,672.25,35
2424,7,66.25,7
2522,12,119.61,12
512,184,1707.05,127
522,9,119.14,6
1057,18,178.81,14
1332,3,95.81,3
1293,12,114.92,12
1285,6,37.71,5
2043,4,101.77,4
308,19,229.99,18
2134,1,16.60,1
1083,1,9.14,1
168,22,444.41,21
2250,9,224.74,9
279,82,913.69,77
774,1,24.98,1
2396,1,37.56,1
676,5,183.75,5
2204,4,75.10,4
1833,4,116.62,4
2200,1,45.83,1
1365,7,78.69,7
883,16,226.44,15
691,2,12.18,2
1285,1,17.96,1
561,19,396.92,16
2939,2,27.50,2
2326,23,197.59,22
952,5,100.05,5
1553,17,113.59,15
493,11,222.98,11
2855,4,44.65,4
1924,3,75.37,3
818,47,634.55,37
316,41,212.59,39
204,120,1948.60,97
1183,6,77.36,6
1023,1,22.39,1
430,30,354.53,28
811,2,9.12,2
335,14,100.11,13
2463,5,80.93,4
2112,6,78.13,6
1968,11,148.36,8
1015,13,137.95,13
699,148,1530.35,107
398,35,324.49,33
2749,12,203.24,11
266,2,9.40,1
2655,6,120.02,6
414,15,130.29,13
2744,5,39.79,4
2633,5,81.74,4
1229,30,750.05,27
1918,1,7.56,1
1087,2,21.32,1
1366,6,21.77,6
353,10,191.08,10
2408,2,49.54,2
870,4,35.83,4
477,21,503.55,21
169,155,882.00,140
955,5,99.34,5
2251,1,299.25,1
894,6,108.61,6
2686,1,12.48,1
1009,16,231.05,15
372,65,725.68,36
1272,16,129.95,10
720,14,360.82,14
569,6,88.72,6
615,25,473.07,23
863,2,63.87,2
2460,7,133.89,7
1196,2,26.54,2
1070,8,59.26,8
2809,2,40.39,2
1927,4,48.51,4
2333,1,44.93,1
1416,15,113.15,14
1714,1,7.05,1
2784,1,51.69,1
2181,3,114.21,3
2801,7,48.16,6
2550,3,110.14,2
2353,4,49.30,4
872,22,351.33,18
1754,9,140.09,9
1722,31,374.99,30
1565,56,843.36,39
250,19,143.15,17
1616,4,38.21,4
2771,13,355.87,12
1688,1,9.47,1
1163,43,778.10,42
1607,7,157.66,7
949,1,8.99,1
1416,2,45.60,1
1605,9,198.56,9
1802,10,113.88,9
2798,2,49.09,2
2428,10,226.15,10
2090,4,64.91,4
2115,1,247.92,1
2396,10,112.26,10
877,14,142.32,10
306,8,169.53,8
2246,1,56.22,1
502,1,6.23,1
2625,1,41.67,1
220,27,1197.56,22
2691,3,41.99,3
2763,9,156.38,8
2812,2,45.38,2
1057,26,464.05,19
2149,7,89.44,7
634,2,19.98,2
2931,3,54.77,3
1320,3,19.09,2
1870,2,19.46,2
182,102,863.55,85
2695,2,24.91,2
2811,6,25.60,4
1685,16,118.91,7
1653,5,36.64,5
2186,1,16.63,1
2186,2,58.61,2
2605,3,32.33,3
2011,1,15.71,1
868,1,24.98,1
827,21,531.49,18
382,31,442.87,31
1560,1,6.61,1
282,4,78.58,4
402,1,12.42,1
2509,6,49.02,6
204,12,113.68,12
270,24,427.81,23
2856,2,45.82,2
2490,1,15.27,1
832,9,88.64,9
1191,17,335.20,14
193,500,7194.39,202
2726,1,20.81,1
2063,2,17.27,2
1010,9,106.64,9
343,1,11.85,1
301,2,13.60,2
435,11,150.26,11
281,9,43.18,6
1989,1,56.18,1
2352,3,80.22,3
1184,4,68.62,3
450,27,484.23,24
744,3,42.29,3
2826,1,12.42,1
2441,2,43.29,2
831,6,38.67,6
1724,21,181.28,18
2731,3,42.75,3
2826,3,47.35,2
663,10,94.54,9
1248,7,85.24,7
1027,25,151.24,24
660,1,10.37,1
1249,2,28.06,2
1924,8,135.07,8
1839,12,58.31,11
2086,23,209.21,18
1605,9,52.23,9
407,53,596.90,42
715,8,143.28,8
2356,3,63.31,3
1787,22,97.91,15
2478,2,49.23,2
846,7,93.55,7
2849,1,41.64,1
1084,14,85.84,6
324,14,291.27,7
2867,4,158.23,4
375,30,445.09,20
2529,2,7.70,2
1026,9,75.04,7
510,1,27.00,1
244,19,413.89,17
2010,17,352.73,17
2314,15,89.91,11
279,19,188.66,16
1033,3,20.22,3
348,22,251.71,21
426,6,63.02,4
2099,9,126.69,9
1980,2,30.56,2
230,8,211.45,8
2596,9,59.58,9
1514,2,152.37,1
1058,2,25.26,2
2568,20,379.38,19
1218,2,22.37,2
207,6,70.71,6
1557,8,106.77,6
2726,2,36.77,2
2937,2,62.00,2
2857,1,53.12,1
345,6,76.75,6
2904,3,92.82,3
1606,5,309.49,4
2898,4,122.06,2
349,7,124.69,7
1869,15,125.51,12
600,1,6.38,1
1008,27,427.63,26
834,15,142.51,10
470,3,22.31,2
2126,6,71.09,5
330,1,66.29,1
326,2,35.81,1
2413,3,113.23,3
1644,6,83.26,6
2692,1,55.87,1
1164,25,172.40,24
2041,1,49.17,1
378,30,202.01,28
1618,10,93.01,9
2785,4,34.69,4
1604,18,199.10,17
1717,4,105.47,4
233,6,115.51,5
1544,2,41.57,2
1332,1,11.63,1
2245,2,12.00,1
2764,1,44.93,1
2799,3,9.57,3
2890,1,24.46,1
888,16,283.28,14
1744,2,8.51,2
632,8,343.35,8
755,35,261.52,30
2308,6,118.31,5
2777,2,57.29,2
1968,3,118.63,3
1616,7,81.31,7
1473,1,11.50,1
2728,1,30.83,1
1923,4,230.06,4
185,5,101.06,5
2544,3,68.46,3
2240,1,17.96,1
1645,5,85.91,5
1676,2,9.30,1
312,27,631.46,27
2547,1,12.90,1
2093,1,410.83,1
1751,8,41.68,8
1754,2,5.28,1
441,4,34.96,4
2022,11,302.29,7
871,13,142.54,13
1342,14,233.26,10
2895,1,24.72,1
2725,2,15.64,2
1917,8,85.73,7
2485,7,114.50,6
1870,2,52.11,2
2290,2,14.62,2
2560,7,180.87,6
381,16,358.31,9
2334,3,68.20,3
2681,10,334.78,10
536,25,178.70,24
1297,1,15.09,1
778,24,222.41,22
2413,11,235.91,10
2070,5,65.95,5
2481,2,84.15,2
2533,1,37.46,1
2653,2,69.64,2
231,6,62.71,6
260,2,54.69,2
2278,1,20.25,1
790,30,248.16,26
2051,1,59.30,1
1913,4,22.51,3
2746,11,194.22,10
2902,8,58.38,8
2456,3,66.21,3
691,42,478.73,39
2635,3,24.66,3
2718,6,82.81,6
1051,4,18.06,3
1127,26,306.12,26
1263,4,41.75,3
827,12,174.65,11
696,4,64.52,4
1017,12,222.27,9
1537,7,43.45,7
322,3,43.44,3
314,2,66.83,2
2906,2,13.29,2
1976,1,111.92,1
218,25,163.04,20
2906,4,112.34,3
490,28,315.98,27
1984,1,112.46,1
2827,18,316.04,17
1898,5,120.90,5
2528,6,177.08,6
528,19,160.45,19
841,15,343.55,12
826,9,131.49,9
421,18,264.80,17
2122,3,100.57,3
619,1,1.78,1
2609,2,55.70,2
1996,2,61.60,2
2241,19,292.87,16
1358,2,7.56,2
2880,7,46.93,7
2254,2,43.28,2
1970,17,161.98,15
249,6,109.30,6
351,15,166.17,15
316,25,259.10,25
2666,4,90.91,4
2852,2,11.23,2
289,22,256.29,20
1167,30,417.44,26
1964,4,154.04,4
1218,5,95.10,5
2624,2,1232.92,2
2726,4,87.38,4
2318,8,142.76,8
2676,2,32.55,2
1531,19,423.88,19
1542,3,11.24,2
2066,4,213.59,3
2080,3,55.50,3
1040,11,82.18,11
2845,1,10.42,1
503,2,34.39,2
778,15,129.79,9
2464,7,43.68,7
1316,31,427.94,31
2477,7,175.55,7
874,6,103.46,5
939,2,34.72,2
1551,14,142.06,13
862,21,206.85,19
1253,4,99.77,4
2353,2,47.50,2
1230,12,182.25,10
2831,2,84.23,2
2899,1,3.92,1
1899,6,83.81,6
2040,2,577.63,2
1489,2,46.53,2
1751,6,36.13,6
225,54,724.61,45
542,20,743.96,17
1058,5,126.06,3
1533,4,111.57,4
2627,11,302.63,6
169,281,4301.47,141
657,22,197.79,22
829,1,17.99,1
2915,1,35.00,1
2595,17,245.85,17
1185,1,7.93,1
1297,9,73.39,9
1257,13,109.59,13
2873,9,520.50,9
1470,12,112.42,11
2082,7,123.24,7
2611,8,93.36,8
2318,3,75.63,3
1333,1,33.99,1
1139,12,67.85,12
1191,3,29.98,1
2487,4,79.76,4
967,1,32.85,1
551,13,230.80,13
2670,1,28.75,1
2306,3,14.61,3
1892,2,44.07,2
595,4,46.56,3
2337,20,269.09,19
2364,1,74.96,1
2193,23,239.66,22
1880,5,113.84,5
769,125,1188.24,84
1340,14,208.17,14
986,2,72.91,2
1129,9,190.37,8
430,49,754.25,38
2860,1,24.92,1
2855,2,34.56,2
2847,2,66.98,2
589,20,167.24,20
793,74,1842.04,51
1881,2,36.38,2
2104,1,410.83,1
1432,61,496.47,52
250,5,30.71,3
1559,29,420.13,29
2185,1,16.35,1
1004,25,261.19,22
590,2,19.80,2
351,31,483.87,29
1242,3,27.49,3
208,329,2297.41,178
1015,10,113.46,9
1023,1,1.45,1
1524,7,140.22,7
818,12,170.39,11
2705,28,502.37,27
1913,6,60.67,6
2767,1,55.37,1
691,24,428.53,19
2622,10,350.98,6
1020,6,58.81,5
2660,3,44.42,3
358,37,367.92,34
785,17,211.97,15
2141,8,86.72,4
2438,3,55.85,3
2702,2,41.88,2
1938,2,51.42,2
1510,1,34.22,1
1566,1,7.00,1
373,8,185.59,8
2729,4,41.09,3
2900,5,105.51,5
529,10,119.99,8
218,36,530.40,23
1339,15,120.00,14
327,1,19.67,1
1580,8,87.62,6
554,1,3.37,1
2686,2,41.60,2
2574,3,85.70,3
2156,8,102.36,6
2719,2,86.22,2
1001,4,110.97,4
2774,1,10.80,1
1112,1,6.27,1
958,1,29.00,1
1912,1,11.07,1
2319,1,14.17,1
426,7,171.22,5
336,59,1138.94,48
2707,18,237.59,18
1468,2,33.97,2
498,9,156.70,8
2882,2,68.67,2
354,22,361.24,21
533,17,245.07,15
434,6,113.91,6
936,1,11.55,1
895,4,94.24,4
871,2,18.40,2
2494,6,128.50,6
503,4,47.46,4
1587,25,507.02,22
333,77,738.06,74
2326,4,78.99,4
2290,8,192.73,7
674,18,170.07,14
623,3,22.00,3
304,36,560.68,25
380,30,464.14,29
696,12,158.86,7
1928,9,390.66,9
1564,6,34.90,6
2365,16,409.81,15
1218,35,406.70,30
1178,5,46.85,5
1724,20,684.52,19
830,3,45.34,3
2458,5,410.21,5
1970,2,174.12,2
179,19,91.17,17
2367,4,63.52,4
1324,3,17.19,3
1881,1,41.23,1
2294,7,55.96,6
2812,2,23.74,2
665,2,15.41,2
1531,12,182.56,10
1552,4,27.58,4
395,36,155.41,36
417,79,990.70,53
1635,4,35.45,3
314,1,17.11,1
1246,1,21.26,1
2324,27,439.22,27
1589,31,450.49,30
2564,6,46.35,4
2744,12,126.10,7
2931,2,68.63,2
291,19,195.02,17
568,22,98.81,18
1030,8,38.27,8
2134,1,27.05,1
2523,3,130.67,2
171,1,15.27,1
283,37,661.65,35
1269,5,311.89,4
302,1,24.18,1
1451,9,87.05,8
1156,8,217.10,8
2758,7,95.43,6
2669,3,42.44,3
2768,4,35.47,4
1363,16,229.68,13
749,7,54.48,6
615,8,96.60,8
2535,4,69.65,4
2770,6,131.96,5
1251,29,86.38,26
216,10,131.17,9
871,6,88.84,6
2283,1,8.21,1
1291,2,11.92,2
2221,4,33.47,4
606,47,718.14,40
324,36,550.54,31
1416,1,4.05,1
539,5,82.37,5
2521,5,21.23,3
1019,3,50.57,3
957,23,247.46,18
2377,1,8.33,1
2327,1,52.46,1
2344,2,37.64,2
805,3,8.83,3
339,3,44.85,3
2127,4,225.38,4
1532,1,49.99,1
526,19,229.93,19
1486,19,97.15,18
329,5,46.41,5
496,23,473.30,19
2034,9,218.06,8
1492,6,63.15,6
912,7,43.73,6
2916,1,55.38,1
1029,1,28.97,1
2795,8,48.93,8
826,1,21.92,1
2441,7,161.22,5
2205,2,495.40,2
2737,2,23.92,2
1645,4,60.70,4
2011,1,42.46,1
291,7,36.64,7
1299,1,46.67,1
290,1,8.63,1
1267,62,1005.64,49
2785,1,59.92,1
402,2,28.74,1
2060,3,54.28,2
1273,24,422.84,23
195,23,483.92,23
1255,2,31.65,1
2302,2,89.99,2
1956,1,43.50,1
2563,9,130.48,8
2719,6,50.61,6
857,3,29.92,3
2255,9,184.09,7
2724,7,70.93,7
1767,6,84.01,5
2890,3,45.54,3
2190,2,23.00,2
2767,2,53.27,2
1359,3,-11.39,3
1852,14,131.69,14
1025,5,92.95,5
636,27,207.06,26
1908,10,133.25,8
2840,3,79.48,3
545,1,1.44,1
1363,3,374.77,2
194,77,731.28,67
2809,5,93.23,4
1346,8,184.40,8
2882,7,269.64,7
434,4,46.52,4
2845,1,9.98,1
1395,2,14.96,2
206,1,27.88,1
1171,3,233.98,2
2018,1,243.75,1
2864,8,142.06,4
2657,7,203.84,5
448,2,33.32,2
1116,11,138.96,7
856,2,55.16,2
1566,1,17.02,1
1738,2,49.49,2
1296,4,49.83,4
1967,2,30.09,2
1779,5,69.12,4
341,25,242.73,22
2828,1,9.99,1
2208,3,43.90,3
1480,27,427.69,23
1729,16,144.90,16
2279,3,26.29,3
2589,12,196.89,12
2795,3,85.20,3
2603,9,127.19,9
1599,16,78.35,12
294,58,899.02,53
2547,1,46.50,1
2121,7,110.63,7
694,11,102.86,11
1550,1,34.22,1
495,52,771.09,44
2072,4,32.68,4
849,2,16.53,2
272,2,16.76,2
2295,5,52.65,5
174,11,209.75,10
2851,1,16.65,1
258,56,333.41,56
2914,1,46.63,1
538,1,7.72,1
2661,1,19.99,1
634,1,22.47,1
1639,1,49.67,1
937,29,124.31,26
233,80,863.29,61
1025,30,654.75,22
1528,3,54.08,3
279,91,835.22,37
2487,7,123.87,7
1283,4,54.41,4
831,6,77.04,6
1228,1,35.99,1
2041,6,105.35,5
1590,59,1196.76,46
276,1,23.63,1
588,1,7.82,1
1168,13,54.06,12
1905,4,62.01,4
1331,6,106.66,5
452,9,129.76,9
1964,31,341.15,27
874,13,306.66,13
1350,41,358.17,35
2328,4,178.03,4
1011,4,118.13,3
2287,7,110.50,7
175,43,401.05,40
2120,38,752.90,31
633,1,32.76,1
1662,9,243.00,9
2093,18,198.55,15
1985,15,414.24,15
1338,11,156.42,9
2008,14,507.74,14
2814,5,189.60,5
661,19,248.44,14
171,77,488.15,51
215,104,1051.92,82
2874,2,22.33,2
2876,6,37.88,5
1531,2,35.81,2
1178,8,12.20,7
2278,28,381.83,26
373,1,9.95,1
278,10,77.69,10
933,3,14.90,3
1484,66,762.90,55
2758,14,304.43,12
2779,3,113.66,3
2656,4,187.16,4
809,2,22.84,2
1992,5,68.45,5
2485,2,47.78,2
965,21,269.92,18
1619,2,29.48,2
526,10,47.56,9
1817,5,46.07,5
2127,17,316.78,15
836,2,27.07,2
255,19,321.77,18
404,39,390.98,38
2716,4,62.41,4
400,1,9.33,1
1139,76,523.98,51
1228,41,646.06,39
2854,2,48.47,2
2217,4,60.19,4
2545,11,119.62,11
2334,2,20.63,2
865,2,26.28,2
388,14,96.48,11
391,14,235.19,14
2831,1,49.97,1
176,75,1118.79,53
2840,4,99.59,4
270,20,417.15,20
241,14,200.79,14
1604,3,104.91,3
1194,19,247.55,17
2483,1,21.30,1
1834,1,21.95,1
788,4,19.43,4
2151,22,329.79,20
2794,2,73.83,2
2936,4,59.73,4
1605,1,6.50,1
947,67,563.50,54
2512,1,74.96,1
627,11,54.79,9
1835,3,39.61,3
437,31,208.87,29
945,5,47.43,5
662,19,273.55,13
2486,10,131.65,10
301,23,263.94,19
794,5,11.96,5
1319,15,221.28,15
872,22,1011.52,16
958,2,34.98,2
420,2,33.86,1
2266,3,52.72,2
260,25,330.86,22
2636,2,10.16,2
444,38,422.95,35
2089,5,38.39,4
1322,22,409.13,20
2552,5,42.05,5
1453,1,13.97,1
2013,9,182.14,9
1527,1,10.88,1
1376,1,5.54,1
2922,2,26.04,2
2037,1,44.92,1
745,4,37.90,4
1185,5,79.84,5
2731,5,30.87,4
2276,1,58.29,1
210,103,1342.98,76
2767,5,113.60,4
629,6,74.99,6
1930,2,43.29,1
1424,4,126.57,3
1039,3,28.94,3
1883,1,2.35,1
1923,42,384.59,39
176,6,91.20,5
844,1,18.50,1
2781,3,45.20,2
2526,4,90.08,4
1499,1,14.44,1
835,21,179.41,19
2784,9,33.50,7
1969,6,195.59,5
502,5,167.67,3
678,40,357.16,36
1920,2,72.83,2
2726,4,127.11,4
1533,9,104.01,9
278,90,1495.09,72
1574,1,24.92,1
2857,11,87.82,11
1862,2,26.40,2
2173,3,36.50,3
1162,26,185.78,17
287,69,728.76,58
198,23,444.37,21
736,2,38.46,1
2018,4,117.00,4
872,11,164.75,9
172,149,1149.09,88
1451,2,10.94,2
636,18,618.69,13
1154,13,162.88,13
1968,2,26.63,2
204,41,592.90,35
2603,2,16.84,2
276,1,7.24,1
1989,1,25.35,1
2035,1,59.34,1
2434,1,18.67,1
2320,1,12.49,1
2166,5,181.58,4
847,5,51.86,5
2636,15,126.10,13
2015,5,121.01,5
1035,8,588.50,5
1178,39,337.49,37
2915,1,28.33,1
639,8,62.93,6
310,10,104.67,10
1351,86,789.18,78
352,43,521.94,41
2383,3,80.15,3
287,1,0.50,1
302,4,3.20,1
2044,7,62.01,6
2202,12,96.66,11
2920,3,34.70,3
1737,22,352.27,12
1350,16,380.44,15
2403,26,265.39,23
586,2,26.11,2
2475,1,70.80,1
1748,5,21.52,4
568,14,100.15,8
445,231,2945.77,158
1546,1,6.63,1
908,67,1492.05,51
289,2,46.07,2
1807,1,36.14,1
