recency,frequency,monetary,variety
2276,0.006493506,56.93,1
508,0.032467532,7.18,5
375,0.045454545,111.87,7
2098,0.019480519,48.27,2
925,0.038961038,21.63,5
440,0.045454545,46.80,7
1905,0.026143790,49.41,4
324,0.078431372,129.45,9
2780,0.013071895,27.55,2
1320,0.111111111,177.89,16
2437,0.013071895,35.30,2
291,0.183006535,556.59,22
2788,0.013071895,62.01,2
223,0.176470588,351.55,25
2086,0.006535947,26.17,1
2380,0.019607843,144.56,2
1251,0.006535947,24.29,1
2849,0.006535947,17.34,1
2892,0.006535947,55.38,1
884,0.228758169,380.16,26
631,0.019607843,5.22,3
1920,0.019607843,56.01,3
2300,0.019607843,188.42,3
2333,0.019607843,492.47,3
2892,0.006535947,71.21,1
2577,0.013071895,64.57,2
1007,0.045751633,183.00,6
2925,0.013071895,8.16,1
512,0.235294117,254.24,34
2611,0.013071895,26.61,2
1174,0.196078431,295.31,30
905,0.006535947,16.66,1
2899,0.026143790,83.62,4
624,0.006535947,0.78,1
2843,0.019607843,54.79,3
1801,0.006535947,20.19,1
1339,0.052287581,65.17,8
334,0.039215686,17.49,6
2263,0.039215686,88.00,6
628,0.013071895,79.82,1
2563,0.019607843,55.56,3
1008,0.052287581,74.79,8
516,0.013071895,24.93,2
1072,0.490196078,655.17,64
2426,0.065359477,318.33,10
330,0.712418300,526.27,77
287,0.196078431,426.22,29
453,0.058823529,71.24,8
870,0.032679738,29.91,5
494,0.098684210,229.14,14
441,0.026315789,220.33,4
1546,0.059210526,179.03,9
1468,0.019736842,437.65,3
505,0.203947368,632.90,27
1534,0.059210526,127.79,9
2674,0.006578947,26.63,1
434,0.019736842,30.07,3
1756,0.019736842,37.89,3
2523,0.046052631,84.18,7
2847,0.032894736,111.38,5
2531,0.013157894,11.36,2
1120,0.059210526,95.70,9
1585,0.072368421,195.40,10
2632,0.006578947,16.46,1
194,0.052631578,210.70,7
660,0.138157894,578.72,15
2087,0.355263157,598.42,32
567,0.177631578,173.89,23
1040,0.013157894,25.65,2
2724,0.032894736,221.98,5
2907,0.006578947,191.00,1
1392,0.006578947,9.41,1
756,0.006578947,6.58,1
2494,0.013157894,18.54,2
499,0.046052631,124.07,6
1665,0.085526315,120.20,12
2740,0.046052631,250.31,6
507,0.032894736,66.59,4
498,0.322368421,553.00,36
509,0.348684210,660.81,49
624,0.046052631,65.52,7
1605,0.131578947,166.49,17
975,0.039473684,71.47,6
452,0.151315789,114.31,15
1551,0.059210526,26.03,7
2912,0.006578947,22.13,1
300,0.144736842,358.97,16
991,0.019736842,80.33,3
2311,0.013157894,62.43,2
1703,0.039473684,44.97,6
1242,0.059210526,29.51,8
543,0.006578947,25.84,1
2440,0.013157894,53.96,2
289,0.131578947,197.99,16
774,0.006622516,21.99,1
1455,0.033112582,76.90,5
1561,0.019867549,204.24,2
2101,0.013245033,87.56,2
1212,0.072847682,161.23,9
1640,0.059602649,92.72,9
2481,0.013245033,35.68,2
590,0.039735099,53.57,5
285,0.112582781,118.61,16
1442,0.013245033,28.83,2
174,0.384105960,391.15,48
185,0.145695364,242.64,19
678,0.006622516,14.98,1
1441,0.165562913,371.45,20
425,0.079470198,120.42,10
519,0.059602649,123.35,8
2054,0.033112582,25.29,4
622,0.006622516,16.24,1
2287,0.006622516,29.16,1
832,0.026490066,62.57,4
2161,0.079470198,246.60,12
2374,0.006622516,49.99,1
623,0.046357615,96.87,7
1480,0.132450331,261.06,19
2398,0.072847682,184.46,10
1824,0.099337748,584.80,11
1535,0.145695364,607.47,17
897,0.125827814,213.99,14
2489,0.092715231,165.39,14
490,0.006622516,23.97,1
1756,0.079470198,125.04,9
408,0.019867549,165.63,2
1809,0.026490066,53.70,4
1645,0.013245033,68.07,2
451,0.132450331,175.24,19
692,0.139072847,201.01,20
1956,0.013245033,40.88,1
1694,0.066225165,37.60,10
169,0.112582781,273.24,17
2773,0.006622516,31.63,1
1122,0.059602649,107.90,8
528,0.046357615,73.86,7
2865,0.013245033,49.98,2
1421,0.006622516,5.97,1
1552,0.099337748,130.81,13
623,0.158940397,240.61,17
875,0.052980132,290.91,7
446,0.013245033,29.68,2
627,0.655629139,1110.89,80
2848,0.119205298,333.70,14
2207,0.052980132,136.17,8
449,0.039735099,18.08,6
545,0.158940397,397.60,23
1200,0.046357615,94.84,7
180,0.211920529,525.63,27
2491,0.079470198,194.46,12
2168,0.013245033,62.86,1
661,0.079470198,72.05,12
391,1.158940397,6121.33,46
2717,0.006622516,44.96,1
2297,0.006622516,129.00,1
1971,0.033112582,129.88,5
503,0.059602649,127.78,9
438,0.198675496,352.28,28
916,0.059602649,198.32,8
1945,0.052980132,131.17,8
1202,0.072847682,210.88,11
993,0.006622516,4.70,1
1046,0.033112582,121.06,5
2080,0.039735099,50.61,6
1087,0.019867549,139.68,2
502,0.013245033,30.61,2
1969,0.026490066,76.52,4
2522,0.264900662,961.65,37
2521,0.006622516,13.30,1
527,0.086092715,202.78,13
458,0.006622516,26.30,1
1526,0.046357615,44.19,7
323,0.231788079,319.21,28
1616,0.006622516,31.49,1
580,0.231788079,427.91,33
832,0.529801324,855.19,71
1274,0.013245033,86.20,2
2568,0.066225165,121.34,10
1713,0.019867549,55.83,3
2701,0.033112582,141.97,5
431,0.079470198,137.94,10
1527,0.019867549,149.17,2
976,0.331125827,717.55,36
554,0.046357615,66.75,7
2692,0.072847682,362.15,8
2606,0.006622516,3.33,1
1077,0.026490066,58.76,4
1232,0.039735099,162.92,6
194,0.033112582,78.72,5
450,0.033112582,42.92,5
501,0.112582781,128.19,17
2283,0.026490066,80.82,4
1597,0.403973509,1013.62,52
2296,0.033112582,1822.13,4
2294,0.019867549,59.13,3
962,0.026490066,97.72,4
499,0.013245033,35.42,1
1242,0.132450331,359.37,19
2113,0.006622516,28.30,1
1976,0.006622516,48.00,1
207,0.218543046,283.17,22
2133,0.026490066,43.12,4
1196,0.039735099,79.34,5
633,0.013245033,32.80,2
574,0.026490066,22.32,3
1479,0.013245033,94.18,2
872,0.019867549,627.62,3
1345,0.145695364,259.77,17
2384,0.033112582,97.83,5
2877,0.039735099,124.97,5
2897,0.019867549,65.50,3
699,0.059602649,863.87,8
