recency,frequency,monetary,clusters
819,1,61.68,1
1095,2,43.63,0
2545,1,286.0,1
1131,1,18.44,1
1830,5,86.76,0
2618,1,6.67,1
2364,21,308.61,0
2508,4,90.45,0
2495,6,97.86,0
2314,2,42.24,0
765,14,117.41,0
1052,1,23.2,1
2177,5,128.97,0
240,6,77.93,0
2047,2,94.08,0
2293,2,54.02,0
2318,3,63.97,0
250,108,2319.61,0
2462,8,246.59,0
1587,3,46.91,0
2531,2,29.3,0
624,6,12.35,0
2166,4,61.72,0
2170,2,114.24,0
2358,1,56.93,1
2572,1,41.66,1
2733,8,132.65,0
1359,10,187.57,0
281,26,520.0,0
836,4,8.38,0
2456,4,78.52,0
2002,3,249.14,0
249,8,204.56,0
2561,9,209.8,0
2530,5,137.13,0
2753,2,12.25,0
2226,8,117.99,0
2028,2,321.96,0
2572,6,64.36,0
2765,3,22.74,0
994,13,189.24,0
1485,4,316.38,0
1389,29,347.63,0
2269,2,35.73,0
2701,1,11.84,1
2511,5,42.46,0
2049,2,16.64,0
539,3,18.17,0
1021,4,74.83,0
2632,5,20.49,0
234,1,2.11,1
2586,1,5.0,1
1415,1,5.51,1
1856,1,18.25,1
1748,9,186.88,0
2385,5,37.57,0
206,2,31.44,0
990,17,226.2,0
2664,1,28.26,1
1754,6,118.41,0
863,45,639.57,0
1822,1,19.42,1
2590,5,49.66,0
1021,6,160.12,0
1596,11,208.62,0
213,76,1596.4,0
2767,1,34.41,1
461,21,152.15,0
2517,6,52.63,0
525,9,40.11,0
1432,5,36.4,0
1300,29,309.6,0
1228,1,63.66,1
2766,2,30.9,0
2094,5,27.28,0
649,10,107.56,0
1802,8,119.41,0
2626,4,49.86,0
1957,20,209.13,0
2061,11,408.03,0
2419,2,33.25,0
2490,7,26.56,0
1570,1,3.74,1
2061,16,134.77,0
384,5,35.81,0
2346,1,20.83,1
503,5,107.55,0
1780,2,68.79,0
705,1,7.11,1
1953,10,102.02,0
99,48,321.0,0
1919,31,414.6,0
872,26,242.54,0
837,1,20.39,1
17,32,670.41,0
1416,6,82.54,0
2471,1,20.81,1
430,3,19.27,0
446,37,347.2,0
2010,20,274.1,0
1987,6,84.53,0
1445,7,58.08,0
27,6,64.13,0
2523,10,109.48,0
1381,1,19.03,1
2683,5,133.26,0
124,5,65.31,0
110,45,945.64,0
2330,2,45.8,0
661,55,516.29,0
30,27,262.75,0
1822,1,33.32,1
1886,21,628.82,0
1029,32,330.16,0
1512,19,279.19,0
226,3,121.69,0
2738,4,66.48,0
2519,2,66.64,0
2305,1,142.46,1
793,2,23.1,0
1790,7,55.48,0
2335,35,319.81,0
2476,8,106.95,0
408,6,124.68,0
1958,6,57.31,0
37,5,28.81,0
28,34,325.21,0
2561,4,42.13,0
1506,14,275.91,0
1670,3,20.82,0
1172,8,66.13,0
1277,7,53.84,0
1946,73,1292.72,0
209,4,61.37,0
366,23,113.1,0
2683,6,91.91,0
2673,1,53.12,1
38,2,13.03,0
769,5,81.43,0
2771,5,191.47,0
802,6,99.33,0
1978,3,82.71,0
2533,2,42.37,0
93,21,178.58,0
2680,5,30.5,0
2718,3,29.27,0
1107,2,52.7,0
107,71,711.81,0
713,23,252.37,0
2551,6,46.62,0
1309,5,48.02,0
38,24,153.95,0
605,2,17.01,0
1440,12,96.12,0
2659,7,62.08,0
1747,3,42.22,0
155,26,337.64,0
477,19,268.15,0
125,6,35.01,0
2358,2,38.26,0
819,15,189.24,0
1877,2,127.88,0
1115,1,13.02,1
1351,18,203.89,0
2299,3,25.64,0
1942,2,63.28,0
1949,30,509.21,0
268,18,166.2,0
2144,2,49.84,0
139,1,11.7,1
602,2,5.46,0
846,20,261.97,0
1329,5,40.62,0
2591,1,39.75,1
1152,1,18.98,1
845,17,185.08,0
1525,9,74.26,0
2655,3,53.48,0
692,16,274.96,0
1273,7,153.79,0
334,3,79.55,0
2703,2,83.0,0
511,3,13.32,0
489,22,340.37,0
2382,4,22.42,0
2515,2,76.93,0
1372,1,3.25,1
2535,2,14.63,0
388,21,69.61,0
2618,2,67.17,0
2556,2,521.65,0
2687,5,70.68,0
1370,4,83.99,0
2611,1,31.64,1
171,13,246.06,0
1948,7,104.29,0
1420,4,74.5,0
1203,22,531.19,0
443,11,543.39,0
756,2,80.62,0
2756,3,97.84,0
1954,10,808.74,0
1756,3,24.86,0
2463,16,924.92,0
1741,18,279.29,0
1196,4,195.1,0
104,21,193.05,0
1605,2,27.52,0
1789,1,162.5,1
2721,1,25.79,1
2058,7,182.35,0
1510,6,91.7,0
2708,8,113.55,0
2739,7,71.05,0
2410,12,138.22,0
2343,2,49.96,0
1460,4,50.76,0
830,11,57.54,0
1291,3,67.74,0
1865,8,161.21,0
332,135,1308.93,0
2024,21,361.0,0
426,47,567.17,0
1339,5,43.49,0
1284,4,12.91,0
2603,4,16.12,0
2004,9,203.42,0
2595,1,265.84,1
97,2,36.79,0
829,1,10.09,1
50,15,106.81,0
2373,8,47.01,0
1392,8,39.21,0
452,32,494.98,0
2250,23,146.98,0
2483,5,84.34,0
2625,2,45.7,0
608,1,44.5,1
2605,3,165.7,0
2559,5,94.77,0
2613,4,34.7,0
2186,10,160.17,0
1141,54,790.98,0
2001,1,36.71,1
2333,9,98.18,0
339,6,54.3,0
2663,3,57.07,0
1548,17,241.64,0
2441,2,29.15,0
2225,2,42.03,0
2752,7,85.67,0
987,5,103.72,0
1952,7,123.0,0
2736,5,85.97,0
1508,19,167.51,0
2075,3,104.19,0
1401,4,50.46,0
1925,1,11.63,1
150,18,215.41,0
2505,3,71.94,0
2326,2,16.5,0
1858,4,95.72,0
361,42,668.15,0
1368,1,13.64,1
385,8,86.38,0
1202,9,101.0,0
2273,1,71.75,1
2081,1,17.93,1
704,3,56.85,0
1992,1,29.12,1
2336,13,131.39,0
400,74,493.17,0
2368,1,12.46,1
459,8,54.38,0
1819,1,33.71,1
652,30,180.93,0
988,6,13.37,0
1995,5,44.45,0
857,20,218.89,0
1393,2,28.54,0
2402,2,57.86,0
1852,2,71.86,0
1493,15,1603.91,0
1415,1,49.99,1
1876,2,44.83,0
647,16,327.66,0
2257,49,956.24,0
1678,27,349.27,0
46,8,99.26,0
2322,2,37.93,0
1913,15,241.46,0
1031,4,263.61,0
402,20,193.55,0
1249,5,41.68,0
2531,11,135.76,0
1690,20,309.34,0
1879,2,38.24,0
1763,7,95.39,0
1056,2,18.01,0
1071,13,153.2,0
1617,27,928.84,0
335,111,959.83,0
2087,2,47.42,0
2741,10,159.58,0
2454,13,112.63,0
2522,8,96.22,0
1383,5,98.88,0
2746,3,19.94,0
1004,31,968.6,0
355,7,68.26,0
2736,2,21.92,0
2096,13,217.75,0
1477,3,33.73,0
954,26,191.26,0
1373,3,27.44,0
121,5,76.42,0
1704,10,62.67,0
17,55,313.8,0
2131,1,52.46,1
1635,3,37.22,0
1429,1,20.75,1
2363,1,23.33,1
2553,2,43.26,0
1438,4,23.04,0
1074,6,44.98,0
34,59,375.62,0
2077,1,7.49,1
507,13,148.55,0
32,12,162.29,0
1097,4,53.09,0
1589,12,120.51,0
2225,2,79.64,0
2686,23,335.03,0
1238,55,690.65,0
1436,2,17.75,0
1700,6,116.48,0
2540,2,42.02,0
939,8,53.76,0
357,28,198.41,0
343,11,146.37,0
2418,4,37.28,0
1588,23,201.45,0
1147,2,34.44,0
2655,56,577.25,0
1266,10,145.5,0
81,16,170.9,0
30,23,199.46,0
109,3,45.72,0
1484,1,25.1,1
1617,134,1220.2,0
2317,3,42.58,0
1488,7,72.88,0
2509,1,59.96,1
2156,9,67.96,0
143,7,89.71,0
2298,17,156.38,0
1382,25,174.98,0
729,18,184.91,0
1243,4,97.17,0
300,15,266.0,0
2689,1,31.0,1
495,11,148.44,0
304,177,1753.8,0
2357,2,53.84,0
2363,2,48.85,0
1016,1,2.34,1
2737,19,257.57,0
2528,9,504.91,0
116,9,149.28,0
2680,5,66.51,0
212,38,391.29,0
1100,17,183.92,0
522,21,266.15,0
616,38,318.83,0
2744,1,58.25,1
115,15,158.63,0
2677,7,123.45,0
2124,14,195.51,0
1983,21,155.96,0
171,119,1994.44,0
459,9,166.02,0
1916,8,105.68,0
1560,12,239.38,0
546,27,197.83,0
1352,14,59.72,0
544,1,1.04,1
287,15,135.44,0
2625,1,16.58,1
328,11,230.01,0
2526,1,8.33,1
2387,5,100.59,0
2161,22,454.96,0
886,1,20.66,1
207,81,660.83,0
759,18,417.61,0
374,6,53.34,0
2280,6,45.23,0
1756,19,115.19,0
2681,2,47.48,0
2558,10,215.81,0
2013,1,12.49,1
2757,5,82.95,0
2142,10,125.15,0
112,13,311.89,0
33,12,269.91,0
1604,4,150.45,0
2516,2,57.88,0
287,16,100.71,0
2707,3,49.48,0
1868,10,202.77,0
2600,2,93.04,0
1069,14,281.82,0
1059,4,88.23,0
2569,8,163.71,0
159,1,3.68,1
329,49,613.57,0
1130,11,114.85,0
396,38,850.58,0
392,9,84.2,0
2241,4,242.63,0
1258,22,200.3,0
734,21,450.55,0
259,10,114.95,0
2395,2,81.54,0
2606,14,123.54,0
2133,16,371.4,0
2131,6,137.73,0
2594,5,60.78,0
2163,13,235.41,0
2469,21,270.98,0
230,49,961.3,0
1015,9,71.97,0
2549,6,86.56,0
369,2,50.28,0
2507,1,29.93,1
377,19,156.54,0
2560,1,54.68,1
2045,4,231.25,0
314,8,265.1,0
121,37,304.31,0
1459,10,57.07,0
126,42,236.24,0
920,11,105.21,0
545,2,149.88,0
2577,6,83.17,0
515,7,80.96,0
537,16,512.39,0
340,6,95.25,0
2168,2,68.27,0
2497,1,29.14,1
1800,3,42.22,0
2143,10,125.15,0
2547,4,41.85,0
1725,2,21.38,0
2558,7,111.14,0
1073,1,20.47,1
1200,2,40.16,0
2598,5,21.09,0
784,2,24.47,0
2757,2,53.32,0
1508,2,56.91,0
2519,8,135.56,0
2053,34,573.94,0
949,1,9.72,1
2719,1,19.67,1
555,30,244.27,0
1568,9,217.56,0
461,2,33.09,0
117,30,397.22,0
1302,21,446.12,0
4,11,141.23,0
1380,30,409.81,0
622,14,377.14,0
279,7,42.87,0
741,5,42.02,0
2501,2,12.79,0
1363,4,48.05,0
2503,15,160.93,0
2678,1,40.24,1
2191,1,69.97,1
294,4,32.45,0
2564,9,111.84,0
37,59,1074.24,0
1207,3,19.22,0
2676,4,37.87,0
1864,4,71.34,0
351,58,634.84,0
1014,1,8.71,1
1943,19,252.84,0
2245,23,585.83,0
73,93,758.97,0
1079,2,25.45,0
2575,3,74.75,0
982,3,33.1,0
2739,8,80.08,0
2083,4,88.71,0
2614,2,83.16,0
141,12,270.02,0
278,21,67.03,0
1525,1,34.04,1
2745,1,23.71,1
661,15,168.33,0
315,4,17.94,0
2096,7,114.14,0
1791,2,75.6,0
2178,2,186.18,0
331,95,1890.9,0
1801,27,421.92,0
710,11,188.61,0
281,3,25.97,0
1809,6,164.0,0
250,3,36.82,0
2078,24,423.01,0
1150,1,29.59,1
1008,10,85.06,0
846,13,201.57,0
764,1,53.17,1
1520,3,40.31,0
2700,3,93.21,0
2038,4,67.18,0
283,9,57.49,0
2476,7,157.06,0
1934,1,13.32,1
1073,65,726.32,0
2547,1,75.83,1
2137,4,53.07,0
2021,15,313.08,0
298,48,1187.88,0
1890,28,369.66,0
1315,92,637.04,0
2319,7,198.09,0
98,18,580.75,0
201,7,180.26,0
701,1,14.1,1
2458,16,393.13,0
1764,1,15.14,1
1191,12,144.13,0
2095,7,190.67,0
2773,2,28.13,4
184,6,113.66,0
94,16,136.14,0
2181,1,16.26,1
1943,1,52.95,1
2037,17,402.89,0
2300,14,499.62,0
2526,1,16.65,1
1917,12,56.75,0
10,81,533.85,0
1747,33,741.62,0
2752,1,86.68,1
1264,3,2.98,0
2665,4,16.68,0
1101,1,19.72,1
1080,14,101.95,0
2358,14,121.66,0
2457,2,47.6,0
1508,3,146.0,0
321,38,354.07,0
239,42,387.67,0
1718,10,361.24,0
1432,3,112.73,0
960,29,313.26,0
2216,1,49.99,1
140,11,202.67,0
1713,3,32.95,0
2739,8,161.93,0
1884,1,22.47,1
199,5,25.31,0
262,3,57.69,0
765,4,36.03,0
2175,5,121.57,0
64,405,1534.71,0
1590,1,13.63,1
2608,6,111.71,0
2767,5,66.95,0
2317,22,209.12,0
462,17,113.23,0
2282,6,103.3,0
1904,21,344.17,0
1029,2,16.75,0
2509,11,86.23,0
1601,2,21.05,0
1734,1,29.78,1
2583,4,119.99,0
709,27,492.96,0
2076,47,570.68,0
37,13,173.26,0
139,481,5019.3,0
2713,1,43.5,1
2082,2,44.29,0
2511,7,77.14,0
388,4,69.27,0
509,1,106.99,1
582,1,23.33,1
1507,1,20.75,1
726,1,23.0,1
1648,16,192.1,0
2446,1,39.95,1
2213,11,71.23,0
1390,4,22.33,0
707,26,272.49,0
1647,28,290.36,0
562,16,200.02,0
1083,2,12.3,0
2535,7,113.66,0
2559,16,344.42,0
2408,1,41.92,1
348,77,672.85,0
2524,7,82.57,0
829,1,17.66,1
2687,3,71.61,0
706,2,30.52,0
2554,4,51.07,0
2091,20,250.86,0
2107,4,34.82,0
2204,7,42.11,0
2732,1,20.75,1
575,4,189.13,0
1739,2,19.61,0
1650,4,78.22,0
483,18,285.35,0
484,9,282.1,0
2322,14,294.1,0
1242,16,129.08,0
2616,1,8.75,1
361,13,292.09,0
1431,10,42.83,0
410,77,1114.14,0
1029,2,6.5,0
341,69,1058.5,0
1797,2,71.53,0
1972,14,250.18,0
1623,7,159.0,0
770,1,6.66,1
2161,6,438.5,0
2284,7,382.98,0
578,2,96.12,0
768,60,885.66,0
1029,6,44.8,0
1599,12,97.83,0
1867,1,44.96,1
43,244,5437.98,0
1889,1,37.5,1
2139,18,259.41,0
998,4,20.56,0
2513,3,36.42,0
1828,3,85.6,0
1172,24,587.51,0
2683,1,48.38,1
1669,2,20.18,0
257,5,69.26,0
122,22,281.64,0
1139,1,19.79,1
337,1,5.56,1
1389,42,413.17,0
2699,3,21.49,0
2202,5,124.74,0
940,1,31.47,1
1504,35,351.92,0
274,11,125.33,0
2184,6,198.6,0
211,62,685.4,0
1440,6,40.88,0
2726,4,86.86,0
495,8,227.97,0
377,18,406.94,0
2606,9,54.07,0
362,12,96.48,0
2230,1,49.92,1
2773,1,20.19,3
2316,7,43.13,0
140,33,296.96,0
212,11,178.86,0
38,30,460.62,0
1823,3,45.88,0
1710,2,11.1,0
1953,12,139.45,0
1490,1,19.39,1
2274,1,53.64,1
292,1,22.84,1
869,38,243.68,0
2045,2,91.54,0
1522,2,16.32,0
332,1,10.91,1
1654,10,131.89,0
1570,23,199.34,0
2586,3,74.38,0
711,3,45.15,0
2205,7,552.03,0
2051,4,74.35,0
1887,1,44.96,1
1009,5,28.68,0
476,5,41.23,0
2166,17,593.31,0
1445,6,134.2,0
2607,3,68.04,0
2393,2,101.77,0
2114,2,55.38,0
2346,4,184.68,0
1936,9,158.67,0
239,9,60.02,0
640,4,51.95,0
2430,2,29.43,0
2485,3,42.05,0
1662,20,832.39,0
1570,7,50.65,0
133,3,25.61,0
2402,1,39.55,1
1791,1,79.13,1
2442,4,84.46,0
76,4,38.5,0
3,56,779.26,0
1389,15,46.59,0
2553,3,53.11,0
524,3,18.49,0
2186,11,143.03,0
2245,12,233.3,0
2648,1,145.83,1
202,6,69.7,0
476,15,459.09,0
1586,1,41.17,1
2527,8,157.09,0
2636,3,64.02,0
1802,1,91.3,1
2768,1,29.13,1
841,11,67.46,0
299,1,29.46,1
1065,3,41.25,0
456,11,239.19,0
1117,3,47.28,0
2683,4,17.54,0
1131,6,132.11,0
259,3,29.79,0
2062,6,154.69,0
2493,3,92.96,0
1016,5,37.23,0
2100,4,129.74,0
2280,5,73.56,0
2679,6,112.83,0
209,66,361.06,0
2422,11,74.75,0
2722,2,126.5,0
2443,4,80.61,0
131,11,164.97,0
2770,1,21.18,1
340,4,26.38,0
2243,2,29.23,0
2695,4,42.32,0
713,15,126.28,0
207,20,117.06,0
752,8,145.0,0
2767,2,141.25,0
396,2,14.78,0
2254,8,194.47,0
1795,1,29.13,1
2080,6,95.7,0
1903,3,81.63,0
41,18,181.06,0
189,5,31.98,0
2496,1,102.84,1
1390,4,24.77,0
381,3,40.09,0
191,4,27.44,0
1847,39,700.53,0
2248,1,5.96,1
1316,14,78.84,0
1741,11,124.71,0
857,12,86.11,0
2704,6,25.74,0
2630,8,85.94,0
2146,2,65.52,0
2110,19,401.15,0
545,38,272.57,0
99,1,19.37,1
918,7,97.25,0
2510,3,51.3,0
2551,1,39.84,1
848,8,239.36,0
2179,8,175.06,0
2445,3,88.05,0
1148,1,7.02,1
2336,6,61.72,0
2700,1,55.38,1
461,1,6.66,1
2333,1,29.16,1
2536,15,545.36,0
1820,2,22.39,0
2056,6,229.65,0
322,173,3194.65,0
2469,8,185.51,0
2326,1,51.38,1
1331,17,154.58,0
176,95,876.35,0
1251,96,2674.04,0
1437,10,73.76,0
1821,19,267.02,0
2439,10,244.89,0
2332,3,50.66,0
617,3,75.37,0
554,8,89.63,0
2044,7,226.13,0
2193,37,389.26,0
1383,5,54.9,0
2166,36,437.31,0
1694,4,73.2,0
1378,6,17.85,0
1275,13,145.81,0
2541,8,98.15,0
2667,1,95.63,1
604,17,49.69,0
2170,13,311.13,0
2706,4,84.92,0
266,18,598.11,0
2603,2,14.0,0
2682,2,21.2,0
117,264,2554.33,0
847,16,107.19,0
2753,1,19.95,1
2716,5,47.62,0
982,42,177.81,0
505,12,90.29,0
277,60,730.87,0
590,2,18.61,0
339,4,52.22,0
1960,24,430.99,0
224,2,5.37,0
1988,1,29.12,1
795,21,217.87,0
1813,3,177.53,0
2296,1,58.46,1
1919,4,315.12,0
2630,2,62.39,0
869,6,50.84,0
98,2,10.29,0
2762,1,16.66,1
1217,4,30.89,0
2012,2,29.58,0
2770,4,49.44,0
1438,21,370.98,0
1851,6,137.1,0
1024,4,29.06,0
2712,3,45.88,0
116,28,469.72,0
2165,1,33.32,1
2423,2,68.11,0
2551,10,116.12,0
461,30,160.23,0
266,13,164.08,0
1614,1,14.61,1
1365,7,98.89,0
1493,1,74.97,1
2583,1,47.93,1
978,1,2.09,1
2485,4,117.75,0
1492,3,24.66,0
2383,14,101.4,0
964,6,96.19,0
787,2,19.46,0
1312,23,210.17,0
1604,1,12.04,1
862,5,80.69,0
780,2,15.45,0
2757,2,53.37,0
705,21,168.95,0
2102,15,330.47,0
1810,12,184.37,0
436,4,47.18,0
156,44,310.22,0
2089,9,235.01,0
133,3,33.39,0
54,19,209.62,0
2570,1,16.66,1
2760,3,68.96,0
653,3,25.09,0
1691,3,65.19,0
340,4,27.29,0
862,51,634.47,0
2689,3,40.26,0
2639,1,11.63,1
2641,5,106.21,0
2453,2,47.4,0
1214,19,168.01,0
2158,5,152.3,0
2494,2,76.56,0
1781,15,339.18,0
46,25,558.9,0
2165,1,9.87,1
2757,1,19.17,1
1960,10,101.45,0
368,9,175.66,0
829,2,7.9,0
1117,6,94.15,0
996,1,10.22,1
2187,9,210.19,0
261,30,394.46,0
2558,14,94.18,0
140,3,27.92,0
2751,8,470.52,0
2554,1,14.96,1
578,7,69.34,0
2771,5,230.87,0
2682,1,45.83,1
1650,12,182.53,0
2315,2,11.88,0
1251,28,471.36,0
2366,8,42.27,0
2459,4,66.97,0
734,1,19.56,1
335,3,41.45,0
994,4,39.49,0
524,93,577.77,0
2088,3,47.02,0
2655,3,97.85,0
946,5,75.42,0
1976,16,375.1,0
1503,2,23.51,0
1742,5,47.66,0
2274,6,94.48,0
2166,3,74.89,0
2698,1,10.25,1
1565,4,135.34,0
2769,4,119.79,0
2485,2,10.09,0
790,1,2.5,1
291,16,226.89,0
109,98,1499.43,0
1396,22,338.77,0
2645,1,47.25,1
2308,24,267.34,0
1072,5,83.39,0
2619,1,35.25,1
1779,3,37.42,0
29,71,740.69,0
223,8,37.82,0
1300,34,415.4,0
397,6,112.74,0
2459,5,204.99,0
2461,2,21.21,0
2572,4,30.96,0
2757,1,44.08,1
24,9,137.04,0
124,46,309.99,0
2772,3,42.88,0
352,5,109.14,0
2773,1,19.92,3
2773,1,29.75,3
1721,13,66.87,0
1398,4,21.68,0
2297,7,235.14,0
2502,4,72.19,0
854,5,53.17,0
2773,1,49.17,3
2773,2,56.79,4
2750,3,264.24,0
702,19,129.54,0
2773,2,42.55,4
1139,17,196.0,0
27,3,43.44,0
2773,2,58.83,4
2330,5,103.46,0
690,13,97.08,0
2761,6,153.7,0
1527,10,384.64,0
2748,5,69.78,0
1455,8,218.17,0
1206,15,130.52,0
2772,2,82.66,0
2429,2,207.29,0
1579,9,70.12,0
959,4,77.74,0
2765,3,19.17,0
656,5,116.03,0
2773,1,41.92,3
2773,1,26.33,3
2772,1,42.5,1
2772,4,75.94,0
2755,2,34.11,0
2772,1,17.64,1
2772,4,49.7,0
839,19,310.3,0
2771,1,58.32,1
2772,4,48.65,0
1960,28,414.2,0
1950,19,170.5,0
2772,1,29.96,1
2772,2,73.98,0
1504,18,326.59,0
2732,6,146.06,0
2739,2,39.98,0
2772,1,39.99,1
2772,1,19.76,1
697,12,70.55,0
2315,12,251.7,0
2772,1,50.22,1
2772,2,37.05,0
2772,1,51.67,1
1068,6,94.06,0
2454,6,66.95,0
1130,7,105.71,0
2772,1,110.41,1
1799,28,2079.28,0
1382,3,60.6,0
2771,5,157.53,0
2771,1,31.64,1
2771,8,197.2,0
2771,1,44.88,1
574,26,568.4,0
2771,1,9.29,1
2199,6,324.64,0
574,25,326.96,0
1519,13,179.12,0
1025,25,218.61,0
2771,1,20.47,1
2771,1,36.67,1
2767,4,70.91,0
2771,4,126.75,0
644,84,879.67,0
2171,3,59.99,0
1676,42,495.02,0
1907,5,170.37,0
2466,9,122.98,0
2771,3,38.69,0
2771,2,18.7,0
407,6,57.0,0
400,20,270.48,0
490,2,119.78,0
1028,15,302.34,0
2770,1,20.75,1
2089,3,17.27,0
2749,6,314.67,0
2522,10,151.6,0
2770,1,20.42,1
2770,2,23.98,0
2770,9,138.49,0
2770,2,38.67,0
2770,9,91.79,0
371,9,344.27,0
1444,26,1389.56,0
1770,3,83.92,0
2738,2,96.32,0
452,5,705.28,0
2770,1,4.6,1
2770,2,29.44,0
2766,2,27.91,0
2629,1,24.98,1
2769,1,21.58,1
1571,6,69.27,0
2769,1,26.66,1
1920,4,133.52,0
2769,1,29.08,1
2156,10,121.45,0
2621,6,43.95,0
404,8,354.82,0
2769,1,21.21,1
2769,1,16.66,1
2769,2,39.56,0
2769,1,17.46,1
2769,1,26.92,1
1925,34,1034.0,0
2769,6,131.44,0
2769,2,20.42,0
2768,4,40.55,0
2769,1,19.27,1
2769,1,19.99,1
1755,17,199.01,0
2764,2,66.58,0
2242,3,83.29,0
2743,5,167.24,0
210,68,1035.97,0
2768,2,37.26,0
2768,1,15.44,1
97,18,316.52,0
107,16,184.97,0
2768,1,16.66,1
2242,3,139.34,0
2768,1,33.26,1
2768,2,48.17,0
2768,1,56.63,1
2578,3,238.65,0
2768,1,15.58,1
182,183,1158.18,0
2768,1,60.17,1
739,8,769.57,0
2768,1,33.25,1
296,10,189.03,0
2439,15,167.23,0
2741,10,130.51,0
2766,6,213.55,0
1611,3,73.35,0
2768,4,136.48,0
2768,2,49.1,0
2768,1,82.92,1
2768,1,45.97,1
2768,1,14.13,1
1653,10,125.15,0
1437,2,45.03,0
2768,1,30.0,1
2768,7,141.3,0
1285,8,47.17,0
2768,1,20.64,1
2264,6,69.19,0
228,12,58.01,0
247,39,144.32,0
2768,2,101.32,0
2690,7,100.74,0
2767,7,42.92,0
2767,1,6.3,1
2767,1,20.79,1
2589,3,94.84,0
2767,1,39.99,1
2767,1,38.18,1
1019,28,461.93,0
85,19,164.45,0
2703,3,169.49,0
560,21,153.31,0
294,22,481.44,0
2767,4,58.51,0
2766,2,55.29,0
2089,9,178.96,0
2448,2,109.42,0
2031,20,216.78,0
2766,1,28.26,1
919,2,53.49,0
2767,2,37.05,0
2764,2,14.66,0
2767,1,21.18,1
2767,2,19.29,0
2767,1,55.25,1
2767,1,11.63,1
2767,1,26.21,1
2760,5,77.25,0
2105,12,413.68,0
2767,1,28.26,1
517,3,40.63,0
2685,11,237.51,0
8,4,53.79,0
2185,2,158.26,0
2422,15,676.41,0
2766,1,11.66,1
1791,27,533.94,0
1803,1,49.99,1
40,12,124.58,0
2766,1,21.15,1
2766,1,42.5,1
1821,6,242.16,0
349,20,394.27,0
2766,2,93.78,0
2452,7,90.4,0
2766,1,120.05,1
2766,2,23.18,0
1073,7,335.21,0
2766,1,17.64,1
2766,1,16.66,1
2530,6,164.05,0
2681,5,77.68,0
147,50,916.64,0
2766,3,137.95,0
2176,2,155.73,0
2766,1,51.67,1
616,6,89.13,0
2766,1,3.54,1
2766,4,68.31,0
2766,1,92.01,1
2766,5,157.44,0
2765,1,65.16,1
2590,18,1169.53,0
2295,2,139.1,0
2436,1,63.3,1
2765,1,17.67,1
871,4,44.26,0
2570,42,1966.93,0
2765,1,27.27,1
656,19,186.27,0
2755,3,80.81,0
2765,1,33.65,1
2765,2,27.49,0
1804,4,161.4,0
727,4,14.86,0
2034,11,145.4,0
2765,1,36.68,1
2765,2,47.84,0
2765,10,83.48,0
1659,24,310.13,0
2123,5,188.75,0
2765,1,45.79,1
2765,4,68.92,0
2765,1,19.92,1
259,15,198.66,0
2765,1,16.25,1
2765,1,14.17,1
2765,2,57.23,0
1641,9,109.25,0
2254,5,117.32,0
2371,12,220.11,0
2764,1,36.33,1
39,136,1632.3,0
57,16,167.41,0
2734,6,111.41,0
2764,1,17.64,1
2764,1,28.3,1
184,45,1112.31,0
2704,13,282.83,0
386,9,166.54,0
2764,1,63.71,1
2764,2,75.9,0
2764,2,78.55,0
2764,1,23.3,1
2763,4,48.07,0
2760,2,20.58,0
2764,2,33.0,0
2764,1,29.77,1
2764,3,61.13,0
972,64,554.42,0
2764,1,9.68,1
2764,1,16.63,1
152,36,421.37,0
2756,3,16.75,0
2764,1,36.33,1
2764,2,72.19,0
2759,3,13.96,0
2764,2,22.63,0
2760,2,36.34,0
2734,5,81.21,0
2764,1,20.54,1
2234,5,126.92,0
2764,3,106.51,0
2764,1,33.65,1
157,9,89.46,0
2764,2,95.1,0
2763,10,82.13,0
2763,2,7.42,0
2763,1,13.29,1
2763,3,52.96,0
2512,5,142.48,0
2763,1,31.0,1
1509,11,266.69,0
2763,1,11.63,1
2751,7,167.7,0
503,41,559.69,0
2763,1,11.8,1
2526,11,89.51,0
2731,2,86.92,0
2763,2,68.08,0
2763,1,17.54,1
1160,15,254.23,0
577,17,343.4,0
309,27,307.66,0
2386,13,144.54,0
2763,1,15.79,1
1910,38,305.87,0
2599,4,157.64,0
2226,14,218.07,0
2763,9,148.41,0
2763,1,106.66,1
2763,2,12.29,0
2763,1,35.0,1
2762,1,31.58,1
196,1,6.25,1
2762,1,14.08,1
2762,1,41.58,1
2762,1,41.58,1
2758,4,42.68,0
2762,1,62.42,1
2762,1,16.65,1
1840,20,933.87,0
2676,17,237.51,0
2762,1,54.09,1
77,16,282.18,0
2762,1,13.92,1
2762,2,26.56,0
2761,7,236.87,0
293,3,38.78,0
2757,2,87.83,0
2761,5,129.11,0
402,26,400.82,0
2761,1,37.42,1
2761,2,29.59,0
2734,2,53.34,0
2671,11,112.44,0
703,15,363.35,0
1863,9,409.04,0
2761,1,37.46,1
41,60,902.82,0
2761,1,33.17,1
2760,4,224.42,0
1732,17,168.92,0
2662,9,164.01,0
2761,2,74.09,0
11,57,887.4,0
1976,7,244.66,0
2761,2,44.85,0
2493,4,119.21,0
1244,36,427.39,0
2761,1,10.25,1
2309,8,215.75,0
2759,2,43.87,0
2761,5,83.75,0
1821,1,25.35,1
2741,1,82.5,1
695,41,481.18,0
2761,5,29.57,0
