recency,frequency,monetary,clusters
808,6,71.47,0
285,23,114.31,0
1384,9,26.03,0
2745,1,22.13,1
133,22,358.97,0
824,3,80.33,0
2144,2,62.43,0
1536,6,44.97,0
1075,9,29.51,0
376,1,25.84,1
2273,2,53.96,0
122,20,197.99,0
607,1,21.99,1
1288,5,76.9,0
1394,3,204.24,0
1934,2,87.56,0
1045,11,161.23,0
1473,9,92.72,0
2314,2,35.68,0
423,6,53.57,0
118,17,118.61,0
1275,2,28.83,0
7,58,391.15,0
18,22,242.64,0
511,1,14.98,1
1274,25,371.45,0
258,12,120.42,0
352,9,123.35,0
1887,5,25.29,0
455,1,16.24,1
2120,1,29.16,1
665,4,62.57,0
1994,12,246.6,0
2207,1,49.99,1
456,7,96.87,0
1313,20,261.06,0
2231,11,184.46,0
1657,15,584.8,0
1368,22,607.47,0
730,19,213.99,0
2322,14,165.39,0
323,1,23.97,1
1589,12,125.04,0
241,3,165.63,0
1642,4,53.7,0
1478,2,68.07,0
284,20,175.24,0
525,21,201.01,0
1789,2,40.88,0
1527,10,37.6,0
2,17,273.24,0
2606,1,31.63,1
955,9,107.9,0
361,7,73.86,0
2698,2,49.98,0
1254,1,5.97,1
1385,15,130.81,0
456,24,240.61,0
708,8,290.91,0
279,2,29.68,0
460,99,1110.89,0
2681,18,333.7,0
2040,8,136.17,0
282,6,18.08,0
378,24,397.6,0
1033,7,94.84,0
13,32,525.63,0
2324,12,194.46,0
2001,2,62.86,0
494,12,72.05,0
224,175,6121.33,0
2550,1,44.96,1
2130,1,129.0,1
1804,5,129.88,0
336,9,127.78,0
271,30,352.28,0
749,9,198.32,0
1778,8,131.17,0
1035,11,210.88,0
826,1,4.7,1
879,5,121.06,0
1913,6,50.61,0
920,3,139.68,0
335,2,30.61,0
1802,4,76.52,0
2355,40,961.65,0
2354,1,13.3,1
360,13,202.78,0
291,1,26.3,1
1359,7,44.19,0
156,35,319.21,0
1449,1,31.49,1
413,35,427.91,0
665,80,855.19,0
1107,2,86.2,0
2401,10,121.34,0
1546,3,55.83,0
2534,5,141.97,0
264,12,137.94,0
1360,3,149.17,0
809,50,717.55,0
387,7,66.75,0
2525,11,362.15,0
2439,1,3.33,1
910,4,58.76,0
1065,6,162.92,0
27,5,78.72,0
283,5,42.92,0
334,17,128.19,0
2116,4,80.82,0
1430,61,1013.62,0
2129,5,1822.13,0
2127,3,59.13,0
795,4,97.72,0
332,2,35.42,0
1075,20,359.37,0
1946,1,28.3,1
1809,1,48.0,1
40,33,283.17,0
1966,4,43.12,0
1029,6,79.34,0
466,2,32.8,0
407,4,22.32,0
1312,2,94.18,0
705,3,627.62,0
1178,22,259.77,0
2217,5,97.83,0
2710,6,124.97,0
2730,3,65.5,0
532,9,863.87,0
1799,2,73.12,0
2324,1,21.65,1
176,21,120.51,0
157,6,103.98,0
2297,10,83.14,0
183,7,67.49,0
1113,9,132.58,0
2253,6,164.8,0
1223,18,217.36,0
1280,12,163.97,0
1459,15,219.5,0
761,12,110.49,0
1054,6,141.27,0
607,15,115.05,0
1515,40,556.3,0
1746,1,9.99,1
1526,4,56.82,0
2032,2,24.92,0
921,6,15.33,0
2429,3,56.82,0
1008,6,139.96,0
1766,10,318.99,0
2619,1,49.96,1
187,34,489.63,0
2164,19,222.05,0
2661,2,37.83,0
614,2,11.19,0
1556,8,24.32,0
117,19,139.27,0
1797,1,62.5,1
648,26,237.86,0
2277,1,24.99,1
1187,11,208.35,0
1453,7,140.65,0
2356,1,16.66,1
1131,18,141.74,0
308,48,704.45,0
1873,3,65.76,0
11,10,101.33,0
601,1,31.5,1
381,5,92.33,0
1383,47,685.88,0
