recency,frequency,monetary,variety,clusters,kmeans_cluster
1942,0.038709677,167.74,5,0,0
471,0.33548387,573.01,42,0,3
136,0.13548387,186.74,19,0,1
2557,0.012903225,52.25,2,0,0
898,0.058064516,194.75,8,0,1
2245,0.025806451,95.73,4,0,0
691,0.129032258,204.89,14,0,1
315,0.122580645,124.26,19,0,1
1311,0.012903225,8.2,2,0,0
2302,0.032258064,70.47,5,0,0
1682,0.04516129,140.33,6,0,0
775,0.832258064,1810.29,83,0,2
745,0.238709677,397.68,32,0,3
385,0.180645161,283.16,25,0,3
1960,0.04516129,79.02,6,0,0
552,0.070967741,99.29,10,0,1
411,0.148387096,441.81,23,0,3
1004,0.141935483,247.57,18,0,1
697,0.012903225,14.36,1,1,1
2165,0.006493506,373.5,1,1,0
2518,0.012987012,16.35,2,0,0
559,0.006493506,45.25,1,1,1
801,0.025974025,52.12,4,0,1
3,0.123376623,169.45,14,0,1
875,0.175324675,346.67,24,0,3
154,0.155844155,280.95,23,0,1
1809,0.051948051,109.7,6,0,0
701,0.123376623,232.28,18,0,1
2130,0.012987012,34.54,2,0,0
2057,0.038961038,209.82,6,0,0
116,0.162337662,217.94,23,0,1
1865,0.012987012,20.92,2,0,0
347,0.772727272,1806.42,74,0,3
8,0.123376623,124.67,19,0,1
308,0.045454545,236.59,5,0,1
1726,0.032467532,37.11,5,0,0
21,1.246753246,2022.63,166,0,2
299,0.051948051,100.9,8,0,1
1010,0.012987012,16.71,2,0,1
1393,0.019480519,19.41,3,0,0
2683,0.025974025,78.04,4,0,0
844,0.032467532,41.82,2,0,1
278,0.077922077,119.61,12,0,1
766,0.383116883,691.7,54,0,3
2109,0.006493506,56.93,1,1,0
341,0.032467532,7.18,5,0,1
208,0.045454545,111.87,7,0,1
1931,0.019480519,48.27,2,0,0
758,0.038961038,21.63,5,0,1
273,0.045454545,46.8,7,0,1
1738,0.02614379,49.41,4,0,0
157,0.078431372,129.45,9,0,1
2613,0.013071895,27.55,2,0,0
1153,0.111111111,177.89,16,0,1
2270,0.013071895,35.3,2,0,0
124,0.183006535,556.59,22,0,3
2621,0.013071895,62.01,2,0,0
56,0.176470588,351.55,25,0,3
1919,0.006535947,26.17,1,1,0
2213,0.019607843,144.56,2,0,0
1084,0.006535947,24.29,1,1,1
2682,0.006535947,17.34,1,1,0
2725,0.006535947,55.38,1,1,0
717,0.228758169,380.16,26,0,3
464,0.019607843,5.22,3,0,1
1753,0.019607843,56.01,3,0,0
2133,0.019607843,188.42,3,0,0
2166,0.019607843,492.47,3,0,0
2725,0.006535947,71.21,1,1,0
2410,0.013071895,64.57,2,0,0
840,0.045751633,183.0,6,0,1
2758,0.013071895,8.16,1,1,0
345,0.235294117,254.24,34,0,3
2444,0.013071895,26.61,2,0,0
1007,0.196078431,295.31,30,0,3
738,0.006535947,16.66,1,1,1
2732,0.02614379,83.62,4,0,0
457,0.006535947,0.78,1,1,1
2676,0.019607843,54.79,3,0,0
1634,0.006535947,20.19,1,1,0
1172,0.052287581,65.17,8,0,1
167,0.039215686,17.49,6,0,1
2096,0.039215686,88.0,6,0,0
461,0.013071895,79.82,1,1,1
2396,0.019607843,55.56,3,0,0
841,0.052287581,74.79,8,0,1
349,0.013071895,24.93,2,0,1
905,0.490196078,655.17,64,0,3
2259,0.065359477,318.33,10,0,0
163,0.7124183,526.27,77,0,3
120,0.196078431,426.22,29,0,3
286,0.058823529,71.24,8,0,1
703,0.032679738,29.91,5,0,1
327,0.09868421,229.14,14,0,1
274,0.026315789,220.33,4,0,1
1379,0.059210526,179.03,9,0,0
