recency,frequency,monetary,variety,clusters,kmeans_cluster
2696,0.010638297,41.66,1,1,0
1956,0.053191489,84.29,4,0,0
133,0.255319148,181.77,22,0,1
108,0.138297872,115.08,12,0,1
2696,0.010638297,20.67,1,1,0
2690,0.074468085,130.98,6,0,0
2648,0.074468085,135.7,7,0,0
57,0.276595744,274.5,26,0,3
2577,0.042553191,74.73,3,0,0
1801,0.09574468,42.95,7,0,0
2696,0.010638297,49.5,1,1,0
2696,0.127659574,36.47,11,0,0
1986,0.021276595,100.4,2,0,0
2696,0.021276595,130.79,2,0,0
2696,0.010638297,5.79,1,1,0
2695,0.010638297,37.47,1,1,0
2695,0.010638297,41.63,1,1,0
160,0.042553191,33.63,3,0,1
107,1.244680851,1019.72,91,0,3
1791,0.010638297,42.46,1,1,0
2695,0.010638297,5.75,1,1,0
2695,0.010638297,63.26,1,1,0
2695,0.021276595,33.04,2,0,0
421,0.010638297,11.64,1,1,1
884,0.819148936,602.6,69,0,3
2694,0.053191489,139.41,4,0,0
2324,0.063829787,130.47,6,0,0
1351,0.021276595,23.99,2,0,0
2695,0.031914893,255.34,3,0,0
138,0.94680851,719.77,76,0,3
2695,0.010638297,35.54,1,1,0
2655,0.042553191,76.95,3,0,0
2680,0.074468085,58.9,7,0,0
2571,0.042553191,150.96,4,0,0
2695,0.010638297,27.08,1,1,0
25,0.329787234,263.75,27,0,3
2695,0.031914893,53.64,1,1,0
461,0.063829787,75.37,5,0,1
2687,0.042553191,106.48,4,0,0
718,0.053191489,73.1,5,0,1
2695,0.010638297,49.08,1,1,0
380,0.021276595,25.14,2,0,1
2694,0.010638297,37.46,1,1,0
2694,0.021276595,9.55,2,0,0
2694,0.010638297,54.13,1,1,0
1833,0.031914893,262.28,3,0,0
2694,0.021276595,67.55,2,0,0
2679,0.031914893,115.28,2,0,0
336,0.638297872,1617.27,58,0,3
2694,0.021276595,39.05,2,0,0
1284,0.021276595,39.59,2,0,0
2488,0.031914893,292.3,3,0,0
402,0.042553191,63.6,4,0,1
2694,0.063829787,162.9,2,0,0
2571,0.010638297,31.88,1,1,0
2661,0.074468085,195.21,7,0,0
2687,0.074468085,33.09,3,0,0
2694,0.010638297,106.66,1,1,0
1569,0.180851063,94.11,17,0,0
1339,0.117021276,201.78,11,0,0
1974,0.244680851,574.39,22,0,3
2694,0.010638297,12.63,1,1,0
1627,0.031914893,37.39,3,0,0
2694,0.010638297,108.25,1,1,0
2694,0.010638297,17.58,1,1,0
2694,0.010638297,41.58,1,1,0
2694,0.010638297,9.17,1,1,0
1025,0.063829787,18.97,4,0,1
2694,0.031914893,37.38,1,1,0
2535,0.09574468,139.99,9,0,0
552,0.063829787,60.01,6,0,1
59,0.053191489,84.29,5,0,1
2694,0.010638297,74.61,1,1,0
1332,0.053191489,113.27,4,0,0
341,0.372340425,234.02,32,0,3
2694,0.010638297,3.92,1,1,0
2013,0.255319148,765.39,23,0,3
2694,0.010638297,108.25,1,1,0
1937,0.042553191,20.12,4,0,0
2694,0.010638297,14.08,1,1,0
1183,0.074468085,91.21,6,0,1
2694,0.010638297,63.33,1,1,0
2693,0.021276595,47.0,2,0,0
450,0.106382978,54.34,10,0,1
2693,0.031914893,49.87,2,0,0
547,0.010638297,67.77,1,1,1
2420,0.031914893,36.61,3,0,0
1340,0.29787234,429.68,28,0,3
2694,0.010638297,41.66,1,1,0
2694,0.021276595,37.65,2,0,0
1456,0.202127659,403.65,18,0,0
1275,0.127659574,146.11,12,0,1
1416,0.063829787,87.7,6,0,0
2693,0.063829787,66.61,6,0,0
2693,0.010638297,29.25,1,1,0
1671,0.085106382,87.39,8,0,0
205,0.010638297,11.49,1,1,1
24,0.106382978,176.04,10,0,1
594,0.180851063,338.56,13,0,1
2693,0.042553191,58.4,4,0,0
1907,0.063829787,188.39,6,0,0
1393,0.191489361,436.9,18,0,0
2693,0.010638297,52.43,1,1,0
78,0.393617021,366.76,36,0,3
2693,0.042553191,413.4,4,0,0
2693,0.106382978,41.35,6,0,0
2195,0.063829787,143.73,5,0,0
2684,0.031914893,50.3,3,0,0
356,0.170212765,121.65,16,0,1
2556,0.063829787,139.83,6,0,0
1215,0.329787234,223.58,27,0,3
2693,0.010638297,6.63,1,1,0
2692,0.021276595,66.5,2,0,0
1002,0.127659574,96.87,12,0,1
2688,0.042553191,116.48,4,0,0
2692,0.031914893,107.2,3,0,0
1931,0.212765957,205.99,13,0,0
146,0.085106382,210.04,5,0,1
2318,0.117021276,145.31,10,0,0
2692,0.021276595,62.4,1,1,0
2692,0.021276595,53.64,2,0,0
2120,0.09574468,97.79,9,0,0
2076,0.053191489,86.14,4,0,0
86,0.202127659,424.95,19,0,3
1920,0.010638297,6.34,1,1,0
2692,0.010638297,21.68,1,1,0
2692,0.010638297,8.22,1,1,0
2692,0.010638297,16.58,1,1,0
1391,0.074468085,45.8,6,0,0
635,0.255319148,454.56,9,0,1
2692,0.010638297,48.61,1,1,0
2692,0.031914893,15.81,3,0,0
122,0.053191489,74.64,5,0,1
1891,0.021276595,93.21,2,0,0
2447,0.127659574,116.78,11,0,0
1353,0.042553191,33.56,3,0,0
2691,0.106382978,73.82,8,0,0
1073,0.074468085,72.78,7,0,1
2690,0.085106382,46.06,5,0,0
1307,0.063829787,93.5,5,0,0
2691,0.031914893,57.45,3,0,0
2691,0.053191489,25.83,5,0,0
2691,0.021276595,107.8,2,0,0
4,0.106382978,145.9,5,0,1
1423,0.170212765,205.73,12,0,0
939,0.106382978,81.89,7,0,1
2691,0.010638297,16.58,1,1,0
2691,0.010638297,39.54,1,1,0
2030,0.063829787,151.43,6,0,0
2691,0.010638297,33.24,1,1,0
2579,0.042553191,36.08,4,0,0
2691,0.010638297,12.46,1,1,0
2691,0.010638297,66.42,1,1,0
2584,0.031914893,47.22,3,0,0
2056,1.127659574,1202.89,23,0,3
2277,0.085106382,322.78,6,0,0
2296,0.010638297,22.8,1,1,0
2691,0.053191489,42.17,5,0,0
1311,0.063829787,131.04,6,0,0
851,0.031914893,14.11,3,0,1
2103,0.244680851,293.88,12,0,0
2690,0.010638297,56.63,1,1,0
2308,0.021276595,36.48,2,0,0
638,0.074468085,99.8,7,0,1
1429,0.14893617,310.91,14,0,0
2170,0.138297872,111.93,12,0,0
1627,0.053191489,45.72,2,0,0
2690,0.010638297,54.13,1,1,0
767,0.085106382,188.33,8,0,1
2688,0.021276595,102.15,2,0,0
2690,0.021276595,61.93,2,0,0
2690,0.010638297,10.79,1,1,0
2690,0.031914893,20.48,3,0,0
2294,0.106382978,85.5,9,0,0
2690,0.010638297,56.63,1,1,0
1877,0.063829787,174.23,6,0,0
1440,0.14893617,136.42,8,0,0
1115,0.010638297,2.03,1,1,1
540,0.382978723,561.41,30,0,3
1640,0.212765957,201.98,16,0,0
2690,0.021276595,79.09,2,0,0
366,1.042553191,2244.4,74,0,2
1807,0.074468085,99.11,7,0,0
2690,0.010638297,16.62,1,1,0
2301,0.127659574,123.26,12,0,0
2690,0.042553191,38.82,4,0,0
2690,0.010638297,16.62,1,1,0
2690,0.010638297,31.0,1,1,0
2688,0.010638297,81.67,1,1,0
2690,0.021276595,42.46,2,0,0
2690,0.053191489,61.93,5,0,0
2690,0.010638297,92.01,1,1,0
2690,0.063829787,92.23,6,0,0
953,0.510638297,384.25,27,0,3
2690,0.010638297,49.92,1,1,0
2670,0.074468085,115.43,7,0,0
1945,0.09574468,124.98,6,0,0
1016,0.117021276,120.3,8,0,1
2607,0.117021276,292.59,4,0,0
2690,0.021276595,5.9,1,1,0
2690,0.021276595,131.67,2,0,0
463,0.053191489,277.52,4,0,1
2690,0.085106382,91.36,7,0,0
1782,0.159574468,232.82,15,0,0
2163,0.191489361,250.57,16,0,0
1756,0.106382978,131.37,10,0,0
1040,0.170212765,130.98,16,0,1
2686,0.085106382,105.9,7,0,0
2690,0.053191489,47.04,5,0,0
2234,0.031914893,21.33,3,0,0
938,0.212765957,217.48,14,0,1
2689,0.031914893,59.76,3,0,0
275,0.287234042,295.24,23,0,3
2689,0.010638297,17.64,1,1,0
2102,0.042553191,73.66,3,0,0
2689,0.010638297,45.04,1,1,0
2689,0.010638297,56.63,1,1,0
108,0.010638297,15.03,1,1,1
1052,0.117021276,178.48,11,0,1
2689,0.053191489,58.95,5,0,0
1638,0.053191489,47.45,4,0,0
2155,0.276595744,152.64,26,0,0
1589,0.244680851,207.55,23,0,0
2260,0.191489361,153.04,17,0,0
355,0.191489361,209.97,15,0,1
2689,0.031914893,42.4,3,0,0
2689,0.074468085,119.7,7,0,0
2023,0.053191489,154.32,5,0,0
2244,0.053191489,105.14,5,0,0
2533,0.074468085,45.05,7,0,0
2689,0.010638297,37.5,1,1,0
2673,0.106382978,145.85,7,0,0
2035,0.031914893,140.86,3,0,0
669,0.680851063,890.22,52,0,3
2323,0.031914893,79.17,2,0,0
2551,0.031914893,80.84,3,0,0
2689,0.042553191,28.51,4,0,0
2656,0.053191489,189.15,5,0,0
2281,0.170212765,317.24,16,0,0
2689,0.010638297,25.79,1,1,0
2689,0.063829787,115.89,6,0,0
2689,0.010638297,29.08,1,1,0
1546,0.053191489,67.39,5,0,0
861,0.127659574,203.8,11,0,1
1674,0.191489361,247.83,18,0,0
565,0.085106382,226.82,8,0,1
2689,0.021276595,55.83,2,0,0
47,0.265957446,260.18,23,0,3
2020,0.063829787,162.63,6,0,0
2689,0.021276595,6.84,2,0,0
380,0.212765957,319.36,18,0,1
2319,0.117021276,1010.62,11,0,3
2689,0.010638297,49.92,1,1,0
2689,0.010638297,99.95,1,1,0
2523,0.074468085,147.26,7,0,0
1458,0.021276595,29.42,2,0,0
1677,0.191489361,309.43,16,0,0
2678,0.010638297,33.33,1,1,0
2687,0.031914893,99.5,3,0,0
2688,0.010638297,15.51,1,1,0
2688,0.010638297,21.21,1,1,0
2615,0.063829787,154.71,6,0,0
2688,0.074468085,72.26,7,0,0
2688,0.010638297,11.63,1,1,0
2688,0.021276595,28.35,2,0,0
40,0.127659574,298.09,10,0,1
2688,0.031914893,53.27,3,0,0
2688,0.042553191,53.62,4,0,0
2688,0.010638297,19.17,1,1,0
649,0.074468085,115.01,7,0,1
2485,0.031914893,51.16,3,0,0
2688,0.031914893,67.23,3,0,0
2688,0.021276595,27.06,2,0,0
471,0.14893617,265.71,13,0,1
2688,0.031914893,306.23,3,0,0
375,0.053191489,87.91,5,0,1
1210,0.191489361,233.8,17,0,1
2688,0.053191489,42.3,4,0,0
2688,0.021276595,32.8,2,0,0
2631,0.021276595,73.21,2,0,0
2338,0.117021276,223.55,11,0,0
179,0.925531914,1091.52,69,0,3
770,0.191489361,223.64,14,0,1
1743,0.09574468,48.79,9,0,0
1875,0.063829787,134.19,6,0,0
2688,0.063829787,96.67,6,0,0
2688,0.063829787,79.86,5,0,0
2688,0.010638297,16.62,1,1,0
2688,0.053191489,75.96,5,0,0
94,0.117021276,287.34,9,0,1
161,0.106382978,132.55,9,0,1
498,0.021276595,41.49,2,0,1
155,0.074468085,212.67,4,0,1
333,0.234042553,339.61,19,0,1
2688,0.010638297,53.12,1,1,0
491,0.202127659,336.46,17,0,1
2688,0.042553191,205.3,4,0,0
96,0.436170212,522.03,37,0,3
39,0.053191489,67.93,5,0,1
1750,0.053191489,23.07,5,0,0
2688,0.031914893,60.68,3,0,0
2688,0.010638297,23.3,1,1,0
530,0.159574468,155.36,14,0,1
673,0.680851063,575.26,59,0,3
2688,0.138297872,88.64,12,0,0
1240,0.127659574,200.68,10,0,1
2112,0.053191489,115.43,5,0,0
1415,0.031914893,27.22,3,0,0
843,0.191489361,157.19,18,0,1
2688,0.042553191,68.89,4,0,0
665,0.29787234,790.59,21,0,3
2688,0.085106382,104.93,8,0,0
2504,0.031914893,50.71,3,0,0
1382,0.042553191,57.59,4,0,0
2688,0.09574468,40.89,9,0,0
1543,0.031914893,96.81,3,0,0
766,0.074468085,95.61,6,0,1
2618,0.053191489,150.09,4,0,0
1985,0.180851063,276.91,12,0,0
842,0.170212765,166.11,15,0,1
2688,0.010638297,19.76,1,1,0
877,0.223404255,189.5,20,0,1
2158,0.223404255,444.79,19,0,0
2688,0.085106382,42.22,8,0,0
2622,0.074468085,199.65,7,0,0
655,0.021276595,25.19,2,0,1
2154,0.14893617,319.45,12,0,0
858,0.138297872,134.76,12,0,1
2672,0.010638297,27.45,1,1,0
2687,0.010638297,13.63,1,1,0
2687,0.010638297,20.77,1,1,0
177,0.159574468,163.56,10,0,1
1826,0.063829787,161.16,5,0,0
2675,0.138297872,93.49,11,0,0
2687,0.021276595,70.88,2,0,0
2675,0.042553191,169.05,4,0,0
1386,0.042553191,150.48,4,0,0
2687,0.09574468,142.48,9,0,0
2687,0.085106382,127.2,7,0,0
2687,0.021276595,49.6,2,0,0
2687,0.010638297,19.97,1,1,0
2687,0.031914893,46.97,3,0,0
114,0.191489361,317.07,14,0,1
2687,0.021276595,61.48,2,0,0
2487,0.031914893,135.95,2,0,0
1986,0.074468085,108.28,6,0,0
721,0.021276595,33.41,2,0,1
1451,0.180851063,515.95,15,0,0
2687,0.010638297,49.83,1,1,0
1664,0.223404255,155.07,21,0,0
22,1.670212765,2250.25,107,0,2
2687,0.031914893,47.95,3,0,0
2687,0.010638297,39.99,1,1,0
1687,0.010638297,14.49,1,1,0
2683,0.053191489,135.01,5,0,0
2687,0.010638297,23.52,1,1,0
2687,0.010638297,16.26,1,1,0
43,0.244680851,630.08,19,0,3
2549,0.106382978,117.4,9,0,0
661,0.010638297,8.21,1,1,1
2687,0.010638297,12.46,1,1,0
2687,0.053191489,65.91,5,0,0
1801,0.14893617,211.92,13,0,0
2686,0.010638297,82.9,1,1,0
2687,0.031914893,75.19,3,0,0
2685,0.063829787,64.1,6,0,0
2686,0.042553191,537.5,2,0,0
2246,0.053191489,106.43,5,0,0
1640,0.585106382,572.07,50,0,3
2687,0.053191489,47.37,4,0,0
2687,0.021276595,114.63,2,0,0
1473,0.031914893,74.17,3,0,0
2687,0.031914893,45.24,3,0,0
2687,0.010638297,16.66,1,1,0
2678,0.053191489,94.52,4,0,0
2306,0.09574468,146.41,9,0,0
2676,0.053191489,92.9,5,0,0
1169,0.223404255,416.37,18,0,3
485,0.063829787,79.28,6,0,1
2685,0.021276595,70.83,2,0,0
2686,0.010638297,2.71,1,1,0
2686,0.042553191,20.54,3,0,0
2686,0.021276595,44.5,2,0,0
2686,0.031914893,80.76,1,1,0
2246,0.117021276,137.38,11,0,0
1581,0.063829787,90.26,6,0,0
661,0.063829787,119.01,6,0,1
2644,0.09574468,597.41,7,0,0
2677,0.138297872,118.94,13,0,0
2458,0.063829787,351.37,6,0,0
2469,0.031914893,64.27,3,0,0
2686,0.031914893,32.13,3,0,0
700,0.063829787,82.99,5,0,1
2568,0.042553191,136.88,4,0,0
2686,0.021276595,29.97,2,0,0
2686,0.010638297,16.67,1,1,0
2248,1.180851063,1597.88,92,0,2
1754,0.031914893,53.89,3,0,0
2672,0.021276595,84.51,2,0,0
2686,0.021276595,52.43,2,0,0
2686,0.010638297,30.0,1,1,0
2686,0.010638297,12.46,1,1,0
2686,0.010638297,27.9,1,1,0
2686,0.021276595,83.24,2,0,0
2108,0.117021276,364.07,11,0,0
2686,0.031914893,47.22,3,0,0
68,0.106382978,192.3,10,0,1
2686,0.021276595,41.72,2,0,0
2677,0.085106382,110.79,8,0,0
2683,0.010638297,38.5,1,1,0
2686,0.010638297,29.14,1,1,0
2686,0.042553191,64.82,3,0,0
1789,0.021276595,169.96,2,0,0
2563,0.063829787,49.3,5,0,0
2686,0.010638297,31.1,1,1,0
2686,0.010638297,5.83,1,1,0
2686,0.053191489,20.28,4,0,0
2686,0.010638297,28.29,1,1,0
2686,0.010638297,14.13,1,1,0
2686,0.010638297,31.0,1,1,0
2686,0.053191489,191.54,5,0,0
1850,0.053191489,388.04,5,0,0
281,0.223404255,188.06,18,0,1
2686,0.021276595,131.67,2,0,0
2686,0.063829787,78.6,5,0,0
2625,0.063829787,139.65,6,0,0
2011,0.085106382,177.6,6,0,0
2089,0.085106382,191.92,7,0,0
2686,0.053191489,143.64,5,0,0
2125,0.09574468,93.84,9,0,0
2686,0.010638297,16.0,1,1,0
834,0.09574468,135.72,8,0,1
2686,0.085106382,108.16,4,0,0
2681,0.053191489,45.93,5,0,0
2685,0.010638297,9.17,1,1,0
422,0.063829787,73.19,5,0,1
2685,0.021276595,28.27,2,0,0
2685,0.010638297,16.43,1,1,0
1577,0.042553191,55.18,4,0,0
2304,0.085106382,153.34,8,0,0
2056,0.138297872,210.15,13,0,0
2685,0.042553191,51.2,4,0,0
2107,0.085106382,154.03,8,0,0
2637,0.127659574,111.3,10,0,0
2685,0.010638297,99.95,1,1,0
2685,0.031914893,10.85,3,0,0
2685,0.010638297,22.17,1,1,0
2318,0.021276595,58.3,2,0,0
864,0.031914893,58.94,2,0,1
2685,0.010638297,21.55,1,1,0
2566,0.085106382,182.3,8,0,0
163,0.170212765,177.98,15,0,1
2659,0.09574468,488.16,9,0,0
2677,0.085106382,153.49,5,0,0
2685,0.010638297,60.14,1,1,0
1134,0.031914893,303.65,3,0,1
2685,0.010638297,22.0,1,1,0
1285,0.117021276,308.32,11,0,0
2681,0.09574468,138.15,8,0,0
705,0.021276595,50.68,2,0,1
2143,0.010638297,18.69,1,1,0
2685,0.010638297,44.33,1,1,0
2685,0.021276595,70.71,2,0,0
371,0.031914893,93.31,3,0,1
2672,0.042553191,232.09,4,0,0
2685,0.053191489,44.25,5,0,0
1874,0.14893617,178.19,13,0,0
2685,0.021276595,24.29,2,0,0
2672,0.031914893,101.77,2,0,0
2559,0.042553191,241.71,3,0,0
2685,0.021276595,165.62,2,0,0
1699,0.117021276,97.9,9,0,0
2685,0.010638297,15.55,1,1,0
703,0.191489361,410.9,12,0,1
1210,0.425531914,473.2,39,0,3
2624,0.053191489,120.73,5,0,0
2685,0.010638297,19.95,1,1,0
2680,0.085106382,196.9,7,0,0
2685,0.010638297,48.8,1,1,0
2118,0.042553191,132.77,3,0,0
948,0.159574468,67.83,12,0,1
428,0.053191489,63.58,5,0,1
2685,0.031914893,106.6,3,0,0
1962,0.212765957,246.54,19,0,0
2685,0.09574468,78.91,9,0,0
2684,0.021276595,70.51,2,0,0
2683,0.042553191,143.98,4,0,0
2486,0.106382978,283.7,10,0,0
2550,0.180851063,339.4,17,0,0
1757,0.351063829,226.41,32,0,3
2684,0.021276595,88.09,2,0,0
663,0.031914893,48.41,2,0,1
2684,0.031914893,47.57,3,0,0
2684,0.021276595,31.59,2,0,0
2684,0.010638297,12.4,1,1,0
2685,0.063829787,25.58,6,0,0
102,0.223404255,308.37,20,0,1
2532,0.106382978,180.06,8,0,0
2684,0.010638297,5.63,1,1,0
2684,0.021276595,58.31,2,0,0
1001,0.106382978,86.78,9,0,1
2684,0.042553191,72.86,4,0,0
2684,0.063829787,223.38,6,0,0
407,0.393617021,453.94,36,0,3
2684,0.010638297,8.29,1,1,0
1733,0.042553191,51.22,3,0,0
2684,0.031914893,49.4,3,0,0
277,0.085106382,132.91,7,0,1
2684,0.021276595,29.92,2,0,0
2683,0.021276595,37.82,2,0,0
2684,0.010638297,5.42,1,1,0
2684,0.010638297,49.96,1,1,0
2544,0.085106382,93.36,7,0,0
2684,0.021276595,13.39,2,0,0
2304,0.159574468,152.43,15,0,0
2684,0.031914893,51.62,3,0,0
1575,0.074468085,76.89,7,0,0
52,0.329787234,305.99,30,0,3
1553,0.09574468,117.13,9,0,0
2607,0.053191489,84.42,4,0,0
2684,0.010638297,66.65,1,1,0
2684,0.042553191,76.84,4,0,0
1552,0.074468085,99.32,7,0,0
827,0.180851063,353.78,17,0,1
10,1.063829787,1314.76,80,0,3
173,0.117021276,253.04,11,0,1
2684,0.010638297,102.71,1,1,0
2348,0.074468085,101.1,6,0,0
859,0.159574468,85.29,15,0,1
2293,0.127659574,121.91,9,0,0
1422,0.031914893,39.99,2,0,0
2276,0.085106382,101.79,7,0,0
2457,0.09574468,105.34,9,0,0
1424,0.606382978,621.82,53,0,3
2684,0.021276595,44.58,2,0,0
1857,0.085106382,125.4,8,0,0
2684,0.010638297,14.99,1,1,0
2684,0.042553191,47.02,4,0,0
2684,0.042553191,62.25,4,0,0
2456,0.031914893,36.51,3,0,0
1933,0.085106382,72.05,8,0,0
2684,0.042553191,34.55,2,0,0
2684,0.031914893,37.96,3,0,0
664,0.031914893,64.5,3,0,1
2295,0.074468085,82.71,7,0,0
2684,0.010638297,48.03,1,1,0
2684,0.010638297,54.13,1,1,0
2684,0.010638297,95.63,1,1,0
2684,0.021276595,14.91,2,0,0
297,0.287234042,590.16,21,0,3
2684,0.010638297,16.63,1,1,0
2684,0.010638297,11.23,1,1,0
2684,0.031914893,70.81,3,0,0
2658,0.042553191,70.57,3,0,0
2684,0.021276595,138.13,2,0,0
2684,0.021276595,49.33,2,0,0
2684,0.010638297,49.92,1,1,0
2549,0.170212765,651.64,16,0,0
2659,0.031914893,68.49,2,0,0
1242,0.138297872,92.69,12,0,1
2684,0.010638297,2.83,1,1,0
2683,0.010638297,27.81,1,1,0
1610,0.106382978,73.83,10,0,0
2683,0.010638297,28.29,1,1,0
2683,0.010638297,4.14,1,1,0
1372,0.14893617,127.46,8,0,0
2683,0.031914893,30.96,3,0,0
2683,0.031914893,30.93,3,0,0
2310,0.063829787,118.03,6,0,0
2496,0.14893617,190.75,14,0,0
1588,0.563829787,935.12,51,0,3
2654,0.085106382,197.51,7,0,0
2683,0.021276595,56.6,1,1,0
2683,0.010638297,19.5,1,1,0
2683,0.021276595,97.75,2,0,0
2683,0.031914893,78.67,3,0,0
2683,0.053191489,224.46,5,0,0
2683,0.010638297,28.26,1,1,0
2683,0.021276595,23.34,2,0,0
155,0.106382978,179.62,9,0,1
2483,0.010638297,21.92,1,1,0
2683,0.042553191,73.59,4,0,0
1155,0.117021276,128.53,9,0,1
2557,0.244680851,216.94,23,0,0
2672,0.031914893,138.24,3,0,0
2513,0.021276595,60.54,2,0,0
2519,0.053191489,101.42,5,0,0
654,0.021276595,11.39,2,0,1
2683,0.021276595,50.45,2,0,0
2024,0.106382978,243.49,8,0,0
175,1.117021276,1538.44,86,0,2
301,0.09574468,138.34,8,0,1
2683,0.010638297,31.0,1,1,0
2683,0.042553191,39.79,4,0,0
2683,0.010638297,13.3,1,1,0
2582,0.191489361,215.21,17,0,0
394,0.255319148,634.34,15,0,3
2673,0.063829787,106.85,5,0,0
1795,0.042553191,51.21,4,0,0
2683,0.021276595,718.96,2,0,0
1443,0.085106382,208.88,8,0,0
2683,0.021276595,62.19,2,0,0
1935,0.031914893,109.71,3,0,0
1705,0.127659574,161.2,12,0,0
71,0.223404255,542.45,18,0,3
2672,0.031914893,41.22,3,0,0
2524,0.074468085,54.85,6,0,0
107,0.202127659,178.54,14,0,1
2683,0.053191489,44.87,4,0,0
2683,0.042553191,98.64,4,0,0
2683,0.021276595,36.18,2,0,0
2680,0.031914893,44.05,2,0,0
1152,0.117021276,130.55,10,0,1
2645,0.053191489,235.01,5,0,0
2683,0.031914893,50.31,3,0,0
303,0.159574468,196.01,15,0,1
2161,0.074468085,491.81,6,0,0
2679,0.021276595,64.84,2,0,0
2683,0.021276595,45.93,2,0,0
2057,0.053191489,98.47,5,0,0
2683,0.010638297,10.98,1,1,0
1307,0.127659574,197.9,9,0,0
673,0.340425531,237.68,32,0,3
2683,0.010638297,41.63,1,1,0
1803,0.031914893,88.23,3,0,0
2682,0.053191489,46.81,5,0,0
2681,0.031914893,19.62,3,0,0
771,0.138297872,154.66,12,0,1
2683,0.042553191,45.6,4,0,0
2683,0.042553191,86.92,4,0,0
2483,0.042553191,101.36,3,0,0
1951,0.182795698,122.05,16,0,0
1242,0.161290322,222.65,12,0,1
1874,0.075268817,55.71,7,0,0
1589,0.032258064,19.65,3,0,0
2682,0.021505376,140.95,2,0,0
2120,0.032258064,198.72,3,0,0
2682,0.032258064,32.89,3,0,0
2682,0.032258064,126.08,2,0,0
2681,0.021505376,230.42,2,0,0
2682,0.043010752,41.24,4,0,0
2682,0.010752688,99.99,1,1,0
2269,0.118279569,190.29,8,0,0
2682,0.021505376,73.95,2,0,0
2411,0.021505376,44.52,2,0,0
2309,0.129032258,336.68,12,0,0
2682,0.086021505,88.97,7,0,0
2682,0.021505376,44.09,2,0,0
24,0.17204301,179.03,12,0,1
2660,0.05376344,96.09,4,0,0
2682,0.032258064,44.61,3,0,0
2682,0.010752688,28.65,1,1,0
2682,0.010752688,29.75,1,1,0
318,0.419354838,449.24,28,0,3
2682,0.043010752,58.46,4,0,0
2264,0.086021505,187.35,7,0,0
331,0.870967741,1761.92,76,0,3
1985,0.075268817,135.85,6,0,0
1927,0.118279569,247.62,11,0,0
2682,0.064516129,51.64,6,0,0
112,3.655913978,4109.76,242,0,2
2682,0.010752688,14.95,1,1,0
2682,0.021505376,13.52,2,0,0
1219,0.107526881,399.82,10,0,0
2682,0.010752688,24.87,1,1,0
2525,0.010752688,33.32,1,1,0
2682,0.021505376,130.79,2,0,0
467,0.40860215,384.1,33,0,3
626,0.107526881,165.96,10,0,1
2682,0.05376344,59.22,5,0,0
2674,0.010752688,19.48,1,1,0
2682,0.010752688,37.48,1,1,0
2682,0.010752688,49.96,1,1,0
2682,0.021505376,22.84,2,0,0
2682,0.032258064,89.78,3,0,0
2290,0.075268817,420.88,7,0,0
2683,0.010752688,27.25,1,1,0
238,0.05376344,68.3,5,0,1
2681,0.05376344,62.79,5,0,0
2680,0.021505376,115.0,1,1,0
2681,0.010752688,12.25,1,1,0
629,0.118279569,58.66,11,0,1
1980,0.064516129,183.07,6,0,0
2681,0.010752688,27.91,1,1,0
2681,0.010752688,8.33,1,1,0
2314,0.064516129,124.23,6,0,0
2055,0.387096774,582.92,29,0,3
2681,0.010752688,19.92,1,1,0
2681,0.05376344,205.17,5,0,0
2681,0.010752688,23.3,1,1,0
2681,0.010752688,9.85,1,1,0
1873,0.204301075,529.16,18,0,0
2681,0.05376344,116.24,5,0,0
381,1.40860215,1132.62,78,0,3
2681,0.010752688,49.55,1,1,0
2478,0.064516129,123.55,6,0,0
373,0.225806451,477.77,20,0,3
2681,0.05376344,108.89,5,0,0
2681,0.064516129,45.14,6,0,0
1393,0.161290322,149.29,15,0,0
2681,0.010752688,43.16,1,1,0
2681,0.064516129,68.25,6,0,0
2665,0.032258064,44.11,3,0,0
2672,0.05376344,98.02,5,0,0
2681,0.021505376,30.33,2,0,0
2681,0.010752688,11.25,1,1,0
1826,0.247311827,208.34,20,0,0
2681,0.021505376,27.17,2,0,0
1876,0.215053763,395.92,15,0,0
2681,0.010752688,18.32,1,1,0
2255,0.086021505,172.64,8,0,0
2528,0.043010752,47.58,4,0,0
2681,0.021505376,87.44,2,0,0
2681,0.05376344,46.05,5,0,0
2681,0.064516129,122.6,6,0,0
2681,0.021505376,60.59,2,0,0
2681,0.010752688,16.63,1,1,0
913,0.032258064,57.25,3,0,1
2681,0.010752688,22.43,1,1,0
2036,0.161290322,215.97,14,0,0
2324,0.086021505,145.84,7,0,0
1801,0.258064516,458.41,23,0,3
2681,0.010752688,42.46,1,1,0
1661,0.333333333,444.07,30,0,3
736,0.075268817,73.05,6,0,1
2667,0.043010752,222.73,3,0,0
2679,0.021505376,191.26,1,1,0
2681,0.010752688,37.46,1,1,0
202,0.118279569,310.25,11,0,1
387,0.139784946,337.61,12,0,1
828,0.193548387,156.9,15,0,1
1748,0.064516129,27.47,6,0,0
1857,0.107526881,146.63,5,0,0
2679,0.032258064,41.03,2,0,0
2680,0.021505376,34.19,2,0,0
2680,0.010752688,12.47,1,1,0
2603,0.05376344,203.2,5,0,0
2059,0.064516129,71.29,6,0,0
465,0.075268817,55.24,7,0,1
2612,0.064516129,370.05,6,0,0
2641,0.021505376,58.19,1,1,0
