recency,frequency,monetary,variety,kmeans_cluster
624,1,0.78,1,0
2843,3,54.79,3,1
1801,1,20.19,1,1
1339,8,65.17,8,0
334,6,17.49,6,0
2263,6,88.0,6,1
628,2,79.82,1,0
2563,3,55.56,3,1
1008,8,74.79,8,0
516,2,24.93,2,0
1072,75,655.17,64,3
2426,10,318.33,10,1
330,109,526.27,77,3
287,30,426.22,29,3
453,9,71.24,8,0
870,5,29.91,5,0
494,15,229.14,14,0
441,4,220.33,4,0
1546,9,179.03,9,1
1468,3,437.65,3,1
505,31,632.9,27,3
1534,9,127.79,9,1
2674,1,26.63,1,1
434,3,30.07,3,0
1756,3,37.89,3,1
2523,7,84.18,7,1
2847,5,111.38,5,1
2531,2,11.36,2,1
1120,9,95.7,9,0
1585,11,195.4,10,1
2632,1,16.46,1,1
194,8,210.7,7,0
660,21,578.72,15,3
2087,54,598.42,32,3
567,27,173.89,23,0
1040,2,25.65,2,0
2724,5,221.98,5,1
2907,1,191.0,1,1
1392,1,9.41,1,0
756,1,6.58,1,0
2494,2,18.54,2,1
499,7,124.07,6,0
1665,13,120.2,12,1
2740,7,250.31,6,1
507,5,66.59,4,0
498,49,553.0,36,3
509,53,660.81,49,3
624,7,65.52,7,0
1605,20,166.49,17,1
975,6,71.47,6,0
452,23,114.31,15,0
1551,9,26.03,7,1
2912,1,22.13,1,1
300,22,358.97,16,0
991,3,80.33,3,0
2311,2,62.43,2,1
1703,6,44.97,6,1
1242,9,29.51,8,0
543,1,25.84,1,0
2440,2,53.96,2,1
289,20,197.99,16,0
774,1,21.99,1,0
1455,5,76.9,5,1
1561,3,204.24,2,1
2101,2,87.56,2,1
1212,11,161.23,9,0
1640,9,92.72,9,1
2481,2,35.68,2,1
590,6,53.57,5,0
285,17,118.61,16,0
1442,2,28.83,2,1
174,58,391.15,48,3
185,22,242.64,19,0
678,1,14.98,1,0
1441,25,371.45,20,3
425,12,120.42,10,0
519,9,123.35,8,0
2054,5,25.29,4,1
622,1,16.24,1,0
2287,1,29.16,1,1
832,4,62.57,4,0
2161,12,246.6,12,1
2374,1,49.99,1,1
623,7,96.87,7,0
1480,20,261.06,19,1
2398,11,184.46,10,1
1824,15,584.8,11,1
1535,22,607.47,17,3
897,19,213.99,14,0
