recency,frequency,monetary,variety,kmeans_cluster
2290,2,156.84,2,1
2248,6,148.88,6,1
1831,10,376.47,9,1
948,4,56.2,4,0
863,77,914.25,67,3
2161,2,104.16,2,1
2452,2,10.84,1,1
2452,2,74.92,2,1
278,18,139.4,8,0
2452,1,33.25,1,1
2452,2,60.13,2,1
2291,23,247.45,17,1
2346,28,898.03,16,3
777,5,33.77,5,0
2452,1,10.25,1,1
1479,7,77.53,5,1
848,18,305.57,16,0
567,2,58.36,2,0
2300,2,70.8,2,1
2452,3,59.42,3,1
1329,3,60.25,2,0
2440,2,110.92,2,1
2451,1,52.43,1,1
2332,1,270.0,1,1
1868,3,66.55,3,1
2105,8,179.41,8,1
2286,4,51.2,4,1
1022,22,165.78,20,0
2094,9,101.12,9,1
2452,3,72.46,3,1
625,30,387.24,18,3
987,2,16.64,2,0
1391,11,242.16,11,0
2452,4,115.25,4,1
1949,20,61.96,16,1
2333,5,65.7,5,1
544,5,53.95,5,0
260,166,1855.67,121,2
2452,1,41.25,1,1
2365,3,19.54,3,1
729,8,295.1,7,0
529,4,98.14,3,0
2452,1,5.96,1,1
2444,6,229.12,6,1
1519,7,198.72,6,1
2452,2,32.04,2,1
2452,1,43.43,1,1
2452,1,8.29,1,1
1005,17,233.28,13,0
2332,2,39.49,2,1
2452,2,47.45,2,1
1085,2,9.23,2,0
2452,2,16.42,2,1
2452,1,16.66,1,1
706,30,223.93,29,3
1315,7,81.75,7,0
1220,7,247.41,6,0
984,3,12.3,3,0
2413,14,62.37,9,1
292,21,391.99,20,0
2451,4,59.82,4,1
1566,8,128.35,8,1
2330,2,85.01,2,1
2451,1,29.04,1,1
2451,1,10.4,1,1
631,5,66.08,5,0
2451,1,18.62,1,1
1924,12,241.09,12,1
1562,15,143.5,14,1
2451,6,56.76,5,1
2451,1,20.75,1,1
2451,1,44.76,1,1
2451,1,49.99,1,1
2358,1,93.68,1,1
2451,1,15.1,1,1
2451,1,67.46,1,1
2343,1,16.66,1,1
2451,1,20.82,1,1
1184,12,178.18,12,0
2451,1,4.16,1,1
1479,4,843.52,4,1
1115,8,79.41,7,0
1743,11,108.58,11,1
2451,10,48.69,7,1
1376,2,42.31,2,0
336,23,252.49,20,0
1080,16,212.46,16,0
1605,14,265.29,13,1
1872,5,71.11,5,1
1793,9,543.19,4,1
2451,3,44.37,3,1
787,11,175.66,10,0
2451,5,29.43,5,1
2451,3,42.78,3,1
1853,16,204.46,16,1
989,37,446.5,34,3
1839,2,35.02,1,1
2386,1,24.99,1,1
515,10,104.6,10,0
2451,1,20.0,1,1
288,55,399.69,50,3
1472,3,30.33,3,1
987,31,243.56,31,3
2451,1,37.49,1,1
265,5,97.98,3,0
643,24,190.09,23,0
2451,2,8.9,1,1
2107,15,97.98,14,1
2429,5,45.15,5,1
956,3,77.45,2,0
2323,10,175.81,10,1
2414,5,151.05,5,1
1184,1,4.42,1,0
2323,4,28.78,4,1
2450,1,49.99,1,1
1212,3,27.32,3,0
2450,1,45.38,1,1
2450,4,48.86,3,1
2059,2,114.05,2,1
2450,8,46.95,8,1
1099,38,550.64,36,3
2450,1,9.63,1,1
2450,4,42.14,4,1
459,59,486.92,47,3
1885,4,58.93,4,1
2450,2,14.45,2,1
2412,9,34.95,9,1
2450,1,24.99,1,1
2450,1,20.83,1,1
2450,1,24.99,1,1
1903,8,54.03,8,1
2375,4,69.51,4,1
2443,9,37.38,9,1
2296,3,89.07,3,1
2450,1,25.43,1,1
1419,2,42.53,2,1
2450,2,11.78,2,1
545,22,208.54,19,0
2286,20,327.76,20,1
2450,8,45.69,8,1
2450,1,26.63,1,1
2450,1,41.18,1,1
2450,1,16.66,1,1
2433,5,85.21,5,1
1187,4,54.21,3,0
1420,7,48.73,6,0
861,1,18.2,1,0
2184,21,1429.5,8,3
2335,8,160.91,8,1
2449,1,6.19,1,1
2449,1,6.19,1,1
2449,3,292.09,3,1
2449,3,56.56,2,1
210,64,578.85,43,3
1747,4,86.36,4,1
2430,9,219.9,9,1
1947,21,275.34,20,1
1513,15,263.57,15,1
1653,44,315.24,33,3
2449,1,18.68,1,1
2449,1,3.3,1,1
2449,4,11.25,1,1
2449,1,67.46,1,1
2447,2,41.58,2,1
2445,1,8.32,1,1
1831,17,584.78,17,1
2449,2,35.94,2,1
711,14,67.61,14,0
2447,1,8.33,1,1
2449,3,21.31,3,1
2449,5,58.9,3,1
2449,1,11.62,1,1
1969,8,200.55,8,1
1738,5,116.03,5,1
2449,4,54.87,3,1
2262,5,125.33,3,1
2449,4,115.27,4,1
2449,1,49.99,1,1
2449,1,29.16,1,1
2449,1,262.5,1,1
204,11,109.06,11,0
329,12,135.23,12,0
862,71,701.11,69,3
2443,2,37.48,2,1
807,65,756.94,59,3
627,46,301.18,36,3
281,12,119.54,9,0
2448,2,59.92,1,1
2448,5,44.0,4,1
1912,24,568.23,22,3
2224,4,96.22,4,1
1374,10,113.18,8,0
2448,2,38.8,2,1
2448,8,58.69,8,1
1414,24,638.04,18,3
1099,27,372.8,24,3
2448,1,12.46,1,1
2448,5,20.4,1,1
2448,1,14.0,1,1
2448,2,18.62,1,1
2448,1,80.63,1,1
2448,13,91.65,12,1
2448,1,51.67,1,1
2242,5,403.46,5,1
1118,2,52.53,2,0
1972,4,105.74,4,1
2448,1,60.75,1,1
1868,1,31.13,1,1
2448,7,44.18,5,1
2383,2,25.21,2,1
2448,5,48.93,4,1
2448,2,12.41,2,1
2448,1,29.96,1,1
2003,7,42.44,6,1
684,6,75.11,6,0
2448,4,56.34,4,1
2448,3,24.95,3,1
2168,2,24.98,2,1
1733,17,184.33,14,1
2447,6,30.9,6,1
2447,1,11.62,1,1
2367,3,735.51,3,1
2335,3,88.61,3,1
280,15,160.43,12,0
2264,12,82.51,10,1
2364,6,221.9,4,1
2447,2,48.32,2,1
1609,6,209.22,6,1
935,14,239.83,13,0
1276,14,111.99,13,0
872,3,9.37,2,0
607,35,506.33,31,3
2334,1,43.3,1,1
330,11,511.01,9,0
2447,1,46.13,1,1
2424,6,114.03,6,1
2447,1,66.64,1,1
2326,10,87.02,10,1
361,24,259.72,24,0
2447,1,16.18,1,1
1160,12,117.15,11,0
2217,3,44.16,3,1
694,45,560.14,40,3
1124,3,56.49,3,0
1615,8,174.97,8,1
2446,1,17.56,1,1
1788,18,108.15,18,1
272,14,379.39,10,0
2141,12,690.08,10,1
1579,9,116.57,9,1
2446,4,43.98,4,1
2446,2,33.32,2,1
2446,1,10.46,1,1
1924,2,58.88,2,1
816,5,63.23,5,0
1342,25,290.79,23,3
2375,3,68.58,3,1
268,16,133.31,13,0
1653,21,267.31,19,1
2446,1,22.07,1,1
289,33,482.52,29,3
2446,1,9.99,1,1
2446,1,27.9,1,1
2446,1,46.2,1,1
2446,3,77.37,3,1
2446,5,42.49,5,1
2446,1,10.42,1,1
2446,1,22.46,1,1
2349,2,99.51,2,1
1591,3,59.01,2,1
2089,5,83.0,5,1
2446,6,47.5,6,1
805,1,9.99,1,0
2239,8,57.52,8,1
204,9,442.68,8,0
289,68,636.42,54,3
1478,9,106.51,9,1
2445,1,15.71,1,1
2445,4,29.47,4,1
2445,1,9.92,1,1
176,108,1454.77,94,3
2436,6,116.77,6,1
2220,5,150.78,4,1
2442,1,62.5,1,1
1347,12,114.45,12,0
708,6,79.41,4,0
871,18,178.87,14,0
2437,3,44.33,3,1
1738,4,32.25,4,1
2445,6,105.68,5,1
1045,2,13.2,2,0
2445,2,51.67,2,1
565,10,199.11,8,0
2437,10,43.41,10,1
2445,5,44.53,5,1
377,25,623.03,17,3
2443,4,37.05,4,1
2445,1,44.96,1,1
2398,5,72.57,5,1
353,46,368.85,39,3
439,100,1112.13,82,3
2445,1,80.63,1,1
2445,1,41.66,1,1
649,12,678.38,11,0
2166,10,202.27,9,1
2445,4,19.82,4,1
2445,3,44.06,3,1
2444,1,34.95,1,1
2445,1,50.0,1,1
2430,9,151.86,8,1
1052,7,147.55,6,0
485,61,679.14,50,3
1306,2,33.05,2,0
1664,2,43.47,2,1
1192,12,174.72,12,0
2445,8,103.54,7,1
1878,1,5.22,1,1
832,8,153.32,8,0
2444,3,17.0,3,1
355,15,98.09,12,0
1707,10,158.97,9,1
2444,2,23.96,2,1
2444,4,38.96,3,1
2444,5,42.38,5,1
1141,10,93.93,10,0
932,5,55.93,5,0
2307,2,51.67,2,1
2444,1,42.71,1,1
2444,2,12.38,1,1
2434,3,20.81,3,1
2444,1,62.5,1,1
2060,26,329.61,18,1
2444,1,11.84,1,1
1605,9,67.15,9,1
2444,1,61.43,1,1
2444,1,48.0,1,1
2444,3,49.59,2,1
2148,1,41.66,1,1
2444,1,19.88,1,1
2191,12,169.37,12,1
1975,19,388.05,18,1
2302,5,147.37,4,1
2444,1,51.67,1,1
2444,1,11.62,1,1
2444,1,12.88,1,1
2443,5,81.48,5,1
1482,31,356.51,28,3
2444,1,9.63,1,1
647,10,83.89,10,0
2042,1,8.09,1,1
2443,1,24.92,1,1
1773,12,180.67,12,1
2324,6,156.85,6,1
2444,3,64.54,3,1
2444,2,52.57,2,1
2343,3,87.4,3,1
2443,3,204.2,3,1
1601,4,67.26,3,1
2427,2,31.17,2,1
448,49,636.05,39,3
2182,3,63.42,2,1
632,7,54.33,6,0
2272,2,55.16,2,1
2365,5,239.9,5,1
2182,2,89.93,1,1
2442,1,9.31,1,1
2443,3,49.98,1,1
2419,3,28.0,3,1
1285,5,110.13,4,0
431,13,72.88,13,0
2443,4,24.32,4,1
1533,11,175.99,8,1
2443,1,7.46,1,1
2443,3,23.83,3,1
1845,1,5.93,1,1
1716,5,182.93,5,1
2443,10,47.24,9,1
1787,5,64.52,4,1
2443,1,12.46,1,1
2438,1,16.66,1,1
2443,1,29.96,1,1
1022,1,30.5,1,0
1194,10,47.9,8,0
2443,2,68.11,2,1
1968,3,80.77,3,1
2436,1,104.94,1,1
355,25,255.57,24,0
2443,3,42.73,3,1
2374,1,12.49,1,1
2220,2,97.42,1,1
1426,3,127.5,2,1
2443,1,8.75,1,1
2443,1,1.37,1,1
499,4,260.7,3,0
2116,2,45.19,2,1
2442,1,133.3,1,1
2442,5,46.63,3,1
365,36,169.83,30,3
506,18,426.43,10,0
1988,9,42.31,9,1
1841,2,18.86,2,1
805,46,516.59,39,3
2078,8,135.35,8,1
1970,8,85.83,6,1
2412,2,26.92,1,1
2438,2,45.76,2,1
2293,3,82.47,3,1
1620,13,222.45,12,1
1038,1,9.89,1,0
2442,8,36.82,6,1
2442,2,35.14,2,1
2288,1,46.38,1,1
285,2,20.08,2,0
2290,4,67.11,4,1
544,13,128.98,13,0
201,2,42.77,2,0
2442,3,18.91,2,1
218,4,51.19,4,0
1044,11,95.83,11,0
705,14,106.06,12,0
312,5,60.68,5,0
1422,2,8.41,2,1
2285,6,66.84,4,1
503,7,68.96,7,0
2442,3,7.47,1,1
618,4,100.66,4,0
2442,3,37.47,3,1
2115,6,95.49,6,1
2442,1,16.66,1,1
2442,2,44.0,2,1
2442,2,48.91,2,1
2442,2,28.28,2,1
2308,4,44.88,3,1
2440,5,54.83,5,1
2318,21,206.35,19,1
2442,1,12.38,1,1
2198,3,108.2,3,1
2442,1,32.92,1,1
2279,2,52.42,2,1
1567,13,181.04,13,1
1757,9,85.32,6,1
2036,2,128.34,2,1
441,6,79.19,5,0
384,2,29.02,2,0
2442,4,45.7,4,1
796,12,79.38,12,0
2442,4,30.9,3,1
2441,3,55.05,3,1
825,19,155.71,16,0
2441,1,22.46,1,1
2333,3,583.46,3,1
2441,1,6.19,1,1
1745,5,38.74,3,1
1904,6,12.5,6,1
2354,3,66.51,3,1
2430,1,20.21,1,1
2441,1,2.96,1,1
2434,5,46.46,5,1
1342,49,393.06,48,3
1941,1,59.34,1,1
330,36,171.22,27,3
1678,30,282.23,27,3
539,5,52.73,5,0
2441,1,33.33,1,1
1387,4,53.3,4,0
2441,1,54.71,1,1
1228,4,80.26,4,0
2441,2,55.34,2,1
1394,10,171.91,10,0
2243,11,167.65,8,1
2441,5,41.76,5,1
2441,1,74.96,1,1
1622,10,74.62,10,1
1158,5,46.86,4,0
1322,5,127.55,5,0
2441,3,46.99,2,1
2441,1,14.21,1,1
387,33,255.97,30,3
441,7,111.83,7,0
2441,1,14.85,1,1
1913,27,311.42,26,3
2294,5,107.52,3,1
878,15,277.58,14,0
2426,1,306.0,1,1
2410,5,46.6,4,1
2440,1,14.58,1,1
282,6,191.93,6,0
2334,4,46.36,4,1
872,10,78.25,9,0
1184,8,122.84,8,0
2440,1,14.63,1,1
714,6,60.43,6,0
204,52,475.36,47,3
1743,4,50.69,4,1
1246,11,189.43,10,0
2440,2,25.72,2,1
460,28,504.21,26,3
1875,1,7.44,1,1
2440,8,53.51,8,1
2440,1,56.63,1,1
353,2,24.75,2,0
2440,1,19.88,1,1
1652,7,97.12,6,1
2440,1,24.98,1,1
2123,5,102.98,2,1
2440,3,56.13,3,1
579,1,21.3,1,0
2324,9,263.81,9,1
1889,25,331.97,23,1
448,29,349.58,24,3
2440,1,23.83,1,1
2295,10,59.62,9,1
2440,10,91.54,8,1
1388,13,129.12,13,0
2440,1,23.92,1,1
2361,3,190.57,3,1
2440,4,45.65,4,1
2416,7,164.48,6,1
2434,14,136.0,7,1
2440,1,41.65,1,1
872,29,607.02,27,3
1511,16,148.03,16,1
1069,21,211.53,16,0
2439,1,13.73,1,1
2430,3,55.14,3,1
2413,4,49.96,4,1
2439,6,192.8,6,1
2439,6,13.25,6,1
2439,1,74.96,1,1
1628,6,133.73,4,1
2385,5,65.77,4,1
2426,4,166.66,2,1
420,14,263.57,14,0
2439,1,33.32,1,1
2439,2,49.6,2,1
2439,2,61.06,1,1
2261,6,164.56,6,1
2439,1,24.7,1,1
2439,1,13.25,1,1
207,108,1928.47,75,3
2435,4,57.71,4,1
621,13,123.97,9,0
340,21,157.93,20,0
2434,2,11.84,1,1
2118,9,159.79,9,1
1589,2,43.07,2,1
1895,13,154.4,12,1
2439,2,44.08,2,1
2439,1,44.96,1,1
2067,10,159.47,7,1
1044,22,193.42,20,0
1479,17,340.34,17,1
1348,7,46.12,7,0
2422,3,62.46,2,1
2439,1,63.71,1,1
1900,19,110.27,8,1
940,13,60.95,13,0
2439,2,16.94,2,1
999,6,77.43,6,0
2390,3,153.39,3,1
2438,1,74.25,1,1
2091,3,13.38,1,1
2438,3,87.91,2,1
2438,2,55.88,2,1
2127,5,73.67,4,1
2438,4,98.0,3,1
2438,5,198.21,5,1
2438,2,52.31,2,1
642,3,59.33,3,0
2023,2,44.7,2,1
2058,2,98.51,2,1
2438,3,48.53,3,1
479,3,185.64,3,0
1511,2,46.25,2,1
2438,5,83.16,5,1
2438,1,133.3,1,1
2438,1,29.16,1,1
2438,4,52.73,3,1
2438,7,81.16,7,1
232,104,1296.35,82,3
2406,3,94.68,3,1
2437,1,41.25,1,1
1024,12,104.48,10,0
2120,2,104.86,1,1
2437,1,12.42,1,1
2434,3,97.34,3,1
2437,1,49.99,1,1
2437,3,18.63,3,1
2437,7,87.38,6,1
1756,12,187.62,11,1
2437,2,43.38,2,1
1022,4,74.59,4,0
2344,9,179.08,9,1
2437,4,16.18,4,1
2254,17,280.05,17,1
1078,7,286.48,7,0
2437,1,54.71,1,1
1450,10,95.49,9,1
2437,4,73.67,4,1
2437,1,16.43,1,1
2437,2,13.3,1,1
1258,3,116.87,3,0
2437,1,11.62,1,1
2366,4,49.42,4,1
2437,1,54.71,1,1
2437,1,29.55,1,1
1906,4,62.99,4,1
2437,2,4.5,1,1
2437,1,48.71,1,1
877,37,512.25,34,3
172,29,207.33,27,3
2437,1,130.97,1,1
258,4,203.06,4,0
2437,1,19.88,1,1
1583,13,116.82,12,1
628,8,37.72,8,0
2028,10,167.07,10,1
2435,4,46.4,4,1
2436,1,11.55,1,1
2436,1,45.38,1,1
1596,6,97.25,5,1
2400,5,54.78,5,1
1108,9,114.79,9,0
2436,1,67.46,1,1
2436,6,66.16,6,1
1598,3,135.92,2,1
1389,13,167.72,13,0
1290,5,146.79,4,0
2436,12,147.05,11,1
2436,1,35.17,1,1
2436,4,47.59,4,1
2436,1,21.71,1,1
831,5,28.67,4,0
2436,1,268.13,1,1
2436,1,20.79,1,1
522,22,238.23,20,0
2436,4,160.67,3,1
2401,5,68.24,5,1
2436,1,89.92,1,1
2384,5,73.04,5,1
2436,9,83.57,9,1
2436,2,49.83,2,1
1150,53,991.4,43,3
2435,12,82.52,9,1
2200,7,183.32,7,1
2435,2,34.79,2,1
2435,2,54.49,2,1
264,5,550.24,5,0
1903,4,52.07,4,1
1728,12,148.69,11,1
2435,1,19.88,1,1
1920,9,261.47,6,1
1508,3,39.12,3,1
291,9,138.73,8,0
1012,13,194.29,13,0
1135,41,574.04,36,3
478,7,47.42,7,0
870,35,261.49,24,3
2435,1,62.5,1,1
2435,1,14.63,1,1
1188,28,513.96,27,3
180,52,284.18,14,3
2435,3,29.97,2,1
2431,1,60.75,1,1
1207,11,274.81,8,0
2435,1,8.33,1,1
2435,1,22.45,1,1
232,21,127.56,19,0
2435,1,14.92,1,1
199,106,1600.63,76,3
2435,1,60.75,1,1
2328,4,95.14,4,1
1109,7,168.82,6,0
2434,3,70.56,3,1
1646,4,130.22,4,1
2200,1,5.83,1,1
2434,1,27.05,1,1
1013,12,107.69,12,0
2434,1,22.42,1,1
2434,1,8.33,1,1
1532,6,52.33,3,1
2434,2,26.29,2,1
2434,3,42.56,3,1
2434,1,5.83,1,1
2427,5,142.54,5,1
2434,2,21.67,2,1
1737,6,46.54,6,1
2434,2,26.55,2,1
2434,2,157.25,2,1
2434,1,31.5,1,1
2434,2,133.51,2,1
2434,4,46.12,4,1
538,8,67.86,8,0
2434,2,79.91,2,1
2432,2,61.06,1,1
1331,19,104.69,17,0
809,3,77.23,3,0
2318,6,68.59,6,1
2433,2,21.28,2,1
2433,1,29.31,1,1
2378,11,229.37,11,1
2433,5,62.69,5,1
2368,10,129.03,9,1
2433,2,46.21,2,1
1905,10,133.96,10,1
526,15,198.51,15,0
2433,2,15.82,2,1
1253,10,109.47,9,0
2433,4,96.15,4,1
2433,1,29.14,1,1
2431,2,48.53,2,1
1652,8,268.94,8,1
2335,4,45.85,4,1
865,18,126.18,15,0
2433,9,157.88,8,1
718,21,245.11,16,0
2432,1,20.21,1,1
2433,1,33.72,1,1
2433,6,199.55,6,1
2417,2,68.65,2,1
2433,3,201.31,3,1
2432,8,199.82,8,1
2432,3,8.27,3,1
369,8,75.45,8,0
2432,2,12.38,1,1
2432,2,64.38,2,1
1243,2,125.95,2,0
973,15,69.33,15,0
2432,1,74.13,1,1
2432,6,51.26,6,1
778,35,163.25,34,3
1561,7,120.36,7,1
2432,1,116.17,1,1
2114,5,135.32,4,1
2432,5,43.36,5,1
1128,26,300.51,23,3
2008,20,260.33,17,1
2432,1,29.12,1,1
1716,6,132.13,5,1
278,18,173.85,14,0
2432,1,26.21,1,1
2201,3,40.67,3,1
2431,2,52.63,2,1
2057,8,70.25,8,1
356,57,398.83,51,3
2431,1,24.99,1,1
1826,8,15.75,8,1
2365,3,67.33,3,1
2431,1,8.31,1,1
2418,4,192.72,4,1
2431,6,44.24,6,1
528,3,65.33,3,0
2431,4,86.59,4,1
2431,2,62.41,2,1
619,16,210.34,16,0
2431,2,56.49,2,1
2431,1,127.46,1,1
2431,4,105.35,3,1
266,8,169.5,6,0
2431,2,38.72,2,1
2256,4,46.4,2,1
296,189,1164.9,145,2
2431,3,112.14,3,1
2431,1,41.85,1,1
2431,1,122.44,1,1
2429,3,69.34,3,1
2221,2,81.64,2,1
512,20,318.18,20,0
282,33,682.41,31,3
2431,1,17.11,1,1
2431,1,60.75,1,1
2411,2,30.05,2,1
2431,1,44.96,1,1
2431,2,43.25,2,1
533,14,403.67,14,0
2431,3,102.58,2,1
2431,2,76.25,2,1
2431,1,45.75,1,1
2430,1,43.69,1,1
2388,14,156.34,7,1
494,25,695.75,13,3
1167,2,21.46,2,0
2430,1,50.85,1,1
1987,2,37.45,2,1
2430,1,20.82,1,1
339,28,339.26,22,3
2430,1,58.29,1,1
753,12,143.76,11,0
2430,1,9.75,1,1
2430,1,20.82,1,1
2245,9,48.68,9,1
1176,15,110.93,12,0
2430,2,21.18,2,1
2430,3,63.31,3,1
2430,6,23.01,6,1
961,74,2084.94,44,3
2430,3,113.59,3,1
1325,11,343.44,11,0
453,32,340.49,31,3
2430,1,22.46,1,1
2430,1,8.29,1,1
1220,5,156.66,5,0
1155,16,131.85,15,0
531,17,371.36,14,0
2085,14,190.89,14,1
2430,8,56.46,8,1
2430,1,23.21,1,1
707,11,150.7,9,0
1344,6,47.45,5,0
2430,7,103.62,7,1
2430,2,125.0,1,1
2430,2,10.69,2,1
2430,1,45.79,1,1
207,8,123.86,8,0
1332,7,86.89,7,0
2430,4,15.84,2,1
2430,1,29.96,1,1
2409,4,69.89,3,1
2430,6,48.73,6,1
2400,5,89.71,5,1
2430,1,49.97,1,1
934,14,195.41,14,0
2110,15,218.26,14,1
2430,3,53.78,3,1
2430,4,87.42,4,1
2430,1,48.0,1,1
859,43,288.88,41,3
2430,3,18.97,3,1
2430,1,43.3,1,1
2429,1,10.42,1,1
2430,1,24.99,1,1
2430,1,23.28,1,1
193,8,157.65,8,0
2429,1,23.92,1,1
2429,1,63.71,1,1
1489,5,76.16,5,1
2429,24,282.07,24,1
2429,1,126.75,1,1
1354,13,181.01,13,0
2429,1,103.29,1,1
2418,8,99.45,8,1
2428,3,180.0,1,1
2429,1,44.96,1,1
451,43,1920.47,24,3
2429,3,93.23,3,1
982,25,518.98,24,3
367,83,885.59,68,3
2429,1,18.66,1,1
2429,1,11.62,1,1
2429,1,8.29,1,1
383,18,210.84,18,0
2429,1,85.5,1,1
1634,3,244.03,2,1
2426,8,103.3,8,1
2429,9,100.14,8,1
2429,3,42.65,3,1
2429,1,74.96,1,1
2429,1,12.42,1,1
1392,4,51.43,4,0
2429,1,4.99,1,1
1991,3,65.71,3,1
2429,1,53.3,1,1
227,57,475.87,46,3
2428,1,471.98,1,1
2428,1,44.86,1,1
2428,1,54.71,1,1
2428,3,79.9,3,1
2428,1,45.83,1,1
2086,6,101.92,6,1
2428,3,16.49,3,1
1955,5,216.19,4,1
1909,14,134.45,14,1
1644,2,81.99,2,1
2420,2,67.42,1,1
2428,1,19.88,1,1
509,3,16.71,3,0
2078,33,639.66,31,3
2428,1,29.14,1,1
2428,2,72.76,2,1
2249,4,95.7,3,1
2428,1,53.55,1,1
2428,1,33.32,1,1
1683,13,154.8,13,1
517,26,396.82,21,3
2428,1,48.0,1,1
2428,1,26.67,1,1
1283,58,1195.55,45,3
2428,5,57.81,5,1
256,21,319.84,15,0
2428,1,11.42,1,1
2428,1,14.21,1,1
2428,3,40.72,3,1
2428,1,74.84,1,1
1451,21,208.83,21,0
1670,3,54.74,3,1
2428,2,24.76,1,1
943,46,548.4,38,3
2393,2,89.18,2,1
594,12,189.44,8,0
204,6,92.72,6,0
746,9,43.04,6,0
630,4,214.66,4,0
2427,1,16.58,1,1
190,166,2061.74,147,2
2427,4,42.75,4,1
301,2,42.99,2,0
2224,5,198.65,4,1
2427,2,12.49,2,1
2427,4,25.74,4,1
774,9,116.27,6,0
2290,7,304.67,7,1
2427,5,85.89,4,1
901,24,532.21,23,3
2427,3,187.83,3,1
1666,6,59.27,6,1
1635,3,41.06,3,1
183,166,1442.25,116,2
1022,94,660.24,60,3
2427,3,42.48,3,1
475,8,136.59,8,0
2427,1,54.92,1,1
652,2,48.56,2,0
1623,7,149.6,7,1
2412,4,172.82,4,1
2346,5,83.68,5,1
1640,8,156.29,8,1
1628,3,71.97,3,1
547,32,338.09,31,3
2427,1,24.96,1,1
1887,41,334.76,26,3
2427,3,101.56,2,1
2427,1,7.63,1,1
2427,1,20.82,1,1
2427,5,38.09,3,1
809,21,550.97,20,3
2427,6,42.25,6,1
2427,6,61.55,6,1
1241,8,192.72,8,0
2426,1,6.58,1,1
2426,1,104.94,1,1
2419,4,179.05,2,1
2426,1,33.71,1,1
2426,3,43.6,3,1
2425,2,987.0,1,1
1537,23,332.15,17,1
445,6,48.64,6,0
2426,1,49.99,1,1
2426,1,49.99,1,1
2426,1,32.25,1,1
2426,1,53.55,1,1
2426,1,5.96,1,1
325,8,100.32,6,0
2426,2,66.66,1,1
1233,7,184.72,7,0
2426,8,119.29,8,1
2426,1,306.0,1,1
1585,17,213.37,11,1
328,16,228.28,16,0
1756,5,67.57,5,1
525,15,276.2,13,0
1770,8,88.27,7,1
2426,3,27.71,3,1
2426,1,43.43,1,1
2426,4,31.42,4,1
621,3,24.95,3,0
2426,5,106.19,4,1
2426,4,157.26,4,1
684,34,147.04,28,3
2426,1,141.63,1,1
2426,1,14.21,1,1
2426,2,21.2,1,1
2126,13,419.69,11,1
1487,34,443.42,29,3
2425,2,90.36,2,1
2425,10,51.37,10,1
2425,2,66.65,2,1
2425,2,57.67,2,1
2389,2,168.69,2,1
2425,3,81.85,3,1
2425,2,36.84,2,1
1182,2,17.49,2,0
2425,6,69.98,4,1
2425,3,20.19,3,1
2425,1,134.96,1,1
2425,1,156.22,1,1
1243,43,411.53,33,3
2425,1,61.43,1,1
2425,1,28.42,1,1
2425,2,24.16,1,1
549,51,889.11,45,3
2425,1,99.92,1,1
2425,1,49.99,1,1
1962,5,154.48,5,1
2425,1,157.49,1,1
2215,7,166.44,7,1
2293,4,105.39,4,1
2425,1,16.66,1,1
2425,1,49.99,1,1
1469,3,47.23,3,1
1818,11,211.19,9,1
2425,1,11.33,1,1
2425,1,74.96,1,1
1880,3,37.0,2,1
485,27,317.14,24,3
2425,1,51.67,1,1
2425,2,52.31,2,1
2425,1,199.99,1,1
2425,2,36.67,2,1
2425,1,22.46,1,1
1022,3,246.25,3,0
2425,1,25.0,1,1
2424,5,130.47,5,1
699,24,228.4,18,0
2382,2,59.85,2,1
2424,1,50.0,1,1
2424,2,82.36,1,1
2424,2,40.6,2,1
2424,1,20.82,1,1
1180,18,168.25,15,0
2289,28,311.07,18,1
2424,2,53.89,2,1
2137,1,13.3,1,1
2424,2,54.54,2,1
2424,1,50.0,1,1
1921,5,76.18,5,1
2424,1,10.42,1,1
2424,7,64.26,6,1
1225,4,114.95,4,0
2424,1,22.9,1,1
2424,1,22.9,1,1
2424,1,49.92,1,1
2384,10,178.56,8,1
1189,4,105.46,2,0
1071,12,426.28,12,0
2424,2,12.94,2,1
2424,2,20.2,1,1
2424,1,26.21,1,1
1872,5,160.87,5,1
2424,7,72.23,5,1
262,66,977.84,53,3
2239,9,126.91,6,1
1143,81,762.46,76,3
1666,3,166.17,3,1
1604,3,27.89,3,1
2424,1,28.42,1,1
2424,2,59.92,1,1
2316,5,113.96,5,1
1623,13,234.31,12,1
1867,4,65.57,4,1
1959,2,59.9,2,1
2401,10,175.14,10,1
623,2,33.28,2,0
2424,4,15.94,4,1
2424,6,15.27,6,1
2423,1,98.8,1,1
2321,9,112.99,9,1
2423,1,108.33,1,1
2415,2,16.61,2,1
344,10,68.48,5,0
1933,5,160.59,5,1
1645,15,514.9,14,1
2423,2,66.66,2,1
2051,7,101.77,7,1
1327,4,151.74,2,0
2421,1,27.05,1,1
2423,2,44.34,2,1
2423,1,76.66,1,1
2423,2,54.97,2,1
2423,1,19.95,1,1
2423,1,22.07,1,1
505,5,206.36,5,0
830,14,205.37,14,0
2423,1,8.31,1,1
2423,1,33.71,1,1
2423,1,25.75,1,1
2423,2,88.26,2,1
2207,10,124.16,8,1
2423,2,55.42,1,1
2423,1,54.68,1,1
1242,16,106.89,14,0
2423,1,20.82,1,1
2127,6,484.65,5,1
2352,4,62.22,4,1
191,15,311.74,13,0
2423,1,38.25,1,1
2423,1,20.79,1,1
2423,3,19.75,3,1
2393,2,330.0,1,1
